language,label,count_before,count_after,action
hi,angry,2806,998,undersampled
hi,neutral,1097,998,undersampled
hi,happy,604,998,oversampled_duplicated
hi,sad,394,998,oversampled_duplicated
hi,fear,89,998,oversampled_duplicated
bn,angry,2805,997,undersampled
bn,neutral,1096,997,undersampled
bn,happy,604,997,oversampled_duplicated
bn,sad,394,997,oversampled_duplicated
bn,fear,89,997,oversampled_duplicated
kn,angry,2804,997,undersampled
kn,neutral,1096,997,undersampled
kn,happy,604,997,oversampled_duplicated
kn,sad,394,997,oversampled_duplicated
kn,fear,89,997,oversampled_duplicated
te,angry,2805,997,undersampled
te,neutral,1096,997,undersampled
te,happy,602,997,oversampled_duplicated
te,sad,394,997,oversampled_duplicated
te,fear,89,997,oversampled_duplicated
ta,angry,2804,996,undersampled
ta,neutral,1095,996,undersampled
ta,happy,602,996,oversampled_duplicated
ta,sad,394,996,oversampled_duplicated
ta,fear,89,996,oversampled_duplicated
gu,angry,166,199,oversampled_duplicated
gu,neutral,175,199,oversampled_duplicated
gu,happy,253,199,undersampled
gu,sad,295,199,undersampled
gu,fear,107,199,oversampled_duplicated
mr,angry,1485,999,undersampled
mr,neutral,1661,999,undersampled
mr,happy,1559,999,undersampled
mr,sad,221,999,oversampled_duplicated
mr,fear,72,999,oversampled_duplicated
en,angry,983,752,undersampled
en,neutral,970,752,undersampled
en,happy,964,752,undersampled
en,sad,640,752,oversampled_duplicated
en,fear,203,752,oversampled_duplicated
ml,angry,975,743,undersampled
ml,neutral,962,743,undersampled
ml,happy,949,743,undersampled
ml,sad,628,743,oversampled_duplicated
ml,fear,201,743,oversampled_duplicated
