text,sentiment,language
"ഒരു മധ്യ ട്രെയിനും ഇല്ല, എത്ര വലിയതാണെങ്കിലും അത് വലിയതല്ല.",angry,ml
അടുത്ത നീക്കത്തിന്റെ പരമാവധി ഉപയോഗിക്കാൻ ഉപയോഗിക്കുന്ന മാർഗങ്ങളുടെ പട്ടിക,angry,ml
റോഡിന്റെ മറുവശത്ത് പോകണോ?,angry,ml
നീ മറ്റൊരുത്തനോടു ഭോഷകു പറകയും അവനെ വിശ്വസിക്കാതിരിക്കയും ചെയ്താൽ,angry,ml
"ഐക്യനാടുകളിൽനിന്നുള്ള ഒരു റിപ്പോർട്ട് ഇങ്ങനെ പ്രസ് താവിച്ചു: ""ഐക്യനാടുകളിലെ പകുതിയിലധികം ആളുകളിൽ എച്ച്ഐവി / എയ് ഡ് സ് ബാധിച്ചിരിക്കുന്നതായി കണക്കാക്കപ്പെടുന്നു. """,angry,ml
"ഉദാഹരണത്തിന് , ഐക്യനാടുകളിൽ എച്ച്ഐവി / എയ് ഡ് സ് ഉൾപ്പെടെ ലോകത്തിന്റെ പല ഭാഗങ്ങളിലും രക്തസമ്മർദം ഉയർന്നുവന്നിട്ടുണ്ട്.",angry,ml
അവിടെ സഞ്ചാരവേലയ് ക്കായി ഞങ്ങളെ നിയമിച്ചു.,angry,ml
"ഈ ലോകജീവിതം ലോക ജീവിതമാണ്, പക്ഷേ അത് ലോകത്തിന്റെ ജീവിതമാണ്.",angry,ml
"ചെറു പ്പ മാ യി രു ന്ന പ്പോൾ, യഹോ വ യെ യും അവന്റെ മകനെ യും കുറിച്ച് പഠിക്കാൻ അവൻ അതിയാ യി ആഗ്രഹി ച്ചു",angry,ml
നിന്റെ അച്ഛൻ കുട്ടിയായിരുന്നപ്പോൾ നീ ജർമ്മനിയിലാണ് ജനിച്ചത്.,angry,ml
അവർ വാളിനെ പേടിക്കും; വാളിനെ ഭയപ്പെടും.,angry,ml
