text,sentiment,language
"এখন, আপনি কি কৃষি শ্রমিকদের মজুরির উপর জিএসটি আরোপ করছেন?",angry,bn
"রাধাসুতা, তাহলে তোমার ধর্ম কোথায় গেল?",angry,bn
আর এটা তাদের সৈন্যদের ভ্রম যে তারা মহারাষ্ট্রকে সংস্কার করবে।,angry,bn
খালি পাহাড়ি মানুষকে কোনো কর্মসূচিতে আমন্ত্রণ জানানোকে নো মিটিং বলে!!,angry,bn
চুপ করে থাকো কেন?,angry,bn
ধর্মনিরপেক্ষ মানুষ তারাই যারা প্রতিবেশীকে পিতার পরিবর্তে পিতা বলে।,angry,bn
যে ভক্তরা এখন মারা যাচ্ছে তাদের সত্যতা কী?,angry,bn
"এসো না বাবা, নাহলে অন্য কোনো সাংবাদিক বড় হয়ে যাবে।",angry,bn
আপনার মত বিশ্বাসঘাতকদের এটা নিয়ে চিন্তা করার দরকার নেই।,angry,bn
বলুন তো গত বছর কেন নেননি..!,angry,bn
কোথায় গেলেন? ফুসকুড়ি সৃষ্টি করবেন না,angry,bn
"হ্যাঁ, এই আড়াই বছর কে সইবে?",angry,bn
কংগ্রেসে এমন বুদ্ধিজীবী থাকলে ভারত কংগ্রেস মুক্ত থাকবে।,angry,bn
"তুমি এত যোগ্য নও, তুমি রাজকীয় সীলমোহর পরলে কেন? মহারাজা নারীদের সম্মান করতেন",angry,bn
চিত্রা তাই ওয়াঘ এবং আপনি টুইট করার জন্য শিন্দে গ্রুপের সদস্য হওয়ার যোগ্যও নন।,angry,bn
"ঠিক আছে, ওহ মাই গড..এত পুড়েছে..",angry,bn
ক্ষমতার এ ধরনের অপব্যবহার বন্ধ হওয়া উচিত.. তাই মহারাষ্ট্রকে আনাজি পন্ত বলা হয়।,angry,bn
"এই পোস্টে আপনার ঠিকানাও মুছে দেওয়া হয়েছে, আগে দেখুন আপনি সেখানে থাকেন কি না",angry,bn
আমি এখন অবরোধ করতে করতে ক্লান্ত,angry,bn
বিজেপি কেন আইনজীবী দেবে?,angry,bn
তারপর যা হল পন্ধরপুর নান্দেডের কোলহাপুরে ভণ্ড বিজেপি,angry,bn
"বালা সাহেবের গাড়িচালক প্রকাশ জানিয়েছেন, সঞ্জয় রাউত জেলে গিয়েছেন।",angry,bn
"আরে, আগামীকাল সরকারের পতন হবে আর আপনি মন্ত্রীর পদ নিয়ে বসে আছেন। হ্যালো ভাই",angry,bn
"ভাস্কর সাহেব বললেন, গতকাল বাবাকে সরিয়ে দিয়েছেন",angry,bn
"জয় শ্রী রাম এখন আসবে জ্ঞান দিতে, ধর্ম শেখাতে",angry,bn
মা: রাস্তায় গিয়ে দড়ি ভেঙে গলায় ঝুলিয়ে রাখলে বুঝবে?,angry,bn
যারা দূষণ করে তাদের বাস দেওয়া ঠিক নয়।,angry,bn
