text,sentiment,language
ಕುಲಕರ್ಣಿಯನ್ನು ನೋಡಿ,neutral,kn
ಪ್ರತಿ ಹಕ್ಕಿಯಿಂದ ಏಳು ಉಂಗುರಗಳನ್ನು ಸಂಗ್ರಹಿಸುವ ಕುರುಡು ಭಕ್ತರು ಇದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬೇಕು.,angry,kn
ಜೀ ಅವರ ಪ್ರಕಾರ ಪುಣೆ ಜಿಲ್ಲೆಯಲ್ಲಿ ಸಚಿವರಾಗಲು ಅರ್ಹ ಶಾಸಕರು ಯಾರೂ ಇಲ್ಲ.,happy,kn
1 ಕೆಜಿಗಿಂತ ಹೆಚ್ಚು ತೂಕವಿರುವ ಸಗಣಿ ಹೊಂದಿರುವ ಮಡಕೆಗಳ ಮಾಲೀಕರಿಗೆ ಇದು ತುಂಬಾ ಕೆಟ್ಟದು.,angry,kn
ಪಾಸ್ ಗೆ ಮನ್ನಣೆ ಸಿಗಲಿಲ್ಲ... ಸರ್ಕಾರದಲ್ಲಿರುವವರು ತಮ್ಮ ಬಗ್ಗೆ ಏನು ಯೋಚಿಸುತ್ತಾರೋ ದೇವರೇ ಬಲ್ಲ...,angry,kn
ದೇಶದಲ್ಲೇ ಅತ್ಯಂತ ಭ್ರಷ್ಟ ಪಕ್ಷ ಬಿಜೆಪಿ... ಹಗರಣ ಮಾಡುವ ಪ್ರತಿಯೊಬ್ಬ ನಾಯಕರಿಗೂ ದೇಶ ಶಿಕ್ಷೆ ನೀಡುತ್ತಿದೆ.,angry,kn
ಚುನಾವಣೆಗೆ ಸ್ಪರ್ಧಿಸಲು ಇಚ್ಛಿಸುವವರ ಉದ್ದೇಶ ಬೇರೆಯೇ ಇತ್ತು,angry,kn
ಅಕಾಲ ​​ಸಾಮ್ರಾಟ್ ಉದ್ಧತ್ ಸೇನೆಗಾಗಿ ಕಾಯುತ್ತಿದ್ದಾನೆ ಹೊರತು ಬೇರೇನೂ ಅಲ್ಲ...,angry,kn
ಒಬ್ಬನು ತನ್ನ ಸ್ವಂತ ದೇಹವನ್ನು ನೋಡಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ. ಅವನು ಯಾವ ರೀತಿಯ ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತಾನೆ?,angry,kn
ಸಾಕ್ಷ್ಯಾಧಾರಗಳ ಕೊರತೆಯಿಂದ ಯಾವುದೇ ಕ್ರಮ ಕೈಗೊಳ್ಳುತ್ತಿಲ್ಲ,angry,kn
