text,sentiment,language
मी म्हणूनच हे बघून लोकमत पेपर बंद केला आज पासून...... चाटा,angry,mr
आज चा नंबर दिसतोय..... पद्धतशीर बाजार उठवला जात आहे!,neutral,mr
"पुण्याची दुर्दशा यांच्यामुळे कशी झाली आहे, हे सध्याच्या पावसातून दिसून येत आहे ढिसाळ कारभार",angry,mr
"तुम्ही साबुदाणा वडे खा किंवा खिचडी, थोडं माझ्यासाठी ठेवा ही विनंती",neutral,mr
पण विकलांगता पांगळी होण्याची शक्यता आहे.. जबरदस्त...,neutral,mr
महाराष्ट्राचे कुलदैवत खंडोबाच्या चंपाषष्ठी उत्सवानिमित्त सर्वांना मंगलमय शुभेच्छा!,happy,mr
सेनेतून वंचितमध्ये आले होते आता परत सेनेत गेले.,neutral,mr
: यंदा देवीचे आगमन कोणत्या वाहनावर होणार? वर्षभरासाठी शुभ-अशुभ संकेत देते ‘ही’ गोष्ट ./- …,happy,mr
"या द्वेषाच्या युगात एकतेचा हा समूह, शतकानुशतके स्मरणात राहील.",happy,mr
तुमच्या तुरुंगवासावर संपूर्ण महाराष्ट्र आनंदी आहे,neutral,mr
सकारात्मकता हा पाया आहे !!,neutral,mr
ती काळ्या दगडावरची रेघ आहे.... निवडणूक आयोग हे केंद्र सरकारच्या निंत्रणाखाली येते__,neutral,mr
नाना पाटेकर पोक्त आजोबा आहेत,happy,mr
- पवनाथडी जत्रेला आजपासून सुरुवात ./-…,neutral,mr
समर्थ रामदास हा बामनांचा देवता असेल आम्हा बहुजन हिंदूंचा नाही,angry,mr
"आपल्यामुळे कोणाच्या डोळ्यात अश्रू येत असतील तर जीवन व्यर्थ आहे, पण आपल्यासाठी जर कोणाच्या डोळ्यात अश्रू येत असतील तर जीवन सार्थ आहे....",neutral,mr
राजकिय संस्कृती ही फक्त सोय आहेनायतर हे महाभारत घडलंच नसतं,neutral,mr
काय फालतुगिरी आहे ही ?? कुठला व्हिडिओ आहे ?,angry,mr
अरे माझ्या घरा जवळ आहे हा प्रकार,neutral,mr
बहिणच लहान भावाला असे नाव ठेवू लागल्यावर बाकीचे काय म्हणतील,angry,mr
खरच आहे हे.,neutral,mr
फक्त त्यांनी बोलायचं बाकीच्यांनी बोलायचा प्रयत्न केला की लगेच सत्तेचा धाक,angry,mr
ट्वीटर सोडून गेला तरी चालेल आता,neutral,mr
हा तुझ्या बापा च्या जागी माझ नाव नक्की लावल,angry,mr
कुठलीही चकमक होते तेव्हा अंगाला दुखापत होतेच,neutral,mr
"किती वैफल्यग्रस्त, दुसऱ्यांचे आई - वडीलाला हिसकावून, आपल्या अनिष्टेचा राजकारण करायचे, कसे वाटते ,",angry,mr
शिवसेना ही हिंदुह्रदयसम्राट बाळासाहेबांची आहे तुमच फक्त बाळासाहेब च आहे खोके,angry,mr
हा प्रश्न असा आहे की पाकीट शिवाय पत्रकारिता चालेल का ?,angry,mr
नवीन वर्षाच्या हार्दिक शुभेच्छा भाई ./_/…,happy,mr
जाहिल तो जाहिल होते है,angry,mr
मीराबाई चानू यांनी पटकावले वेटलिफ्टिंगमध्ये पहिले रौप्य... खुप खुप अभिनंदन...,happy,mr
दीड वर्षात केली आपल्या चिरंजीवाने हा घोटाळा कसा केला हो,angry,mr
पी. व्ही. सिंधु ला बैडमिंटन मधे रौप्य पदक अभिनंदन सिंधु आम्हाला तुझा अभिमान आहे!!!,happy,mr
पण डॉलर च्या तुलनेत रुपया खाली येतोय .. त्याचं काय,sad,mr
यांसह इतर मान्यवर उपस्थित होते. मंगलप्रसंगी आई अंबेच्या सर्व भक्तांना घटस्थापना व नवरात्रोत्सवाच्या शुभेच्छा दिल्या.,happy,mr
महाराष्ट्र मधील सरकार कधी असा निर्णय घेणार ?,neutral,mr
"उपमुख्यमंत्री,मुख्यमंत्री दिल्ली वारीत आणि महाराष्ट्रातील महिलेची इज्जत,अस्मिता मात्र रस्त्याच्या कडेला",sad,mr
संघिना फक्त पुरुषाच्या चड्डीत बघायची सवय आहे...काय करणार च आहे,angry,mr
आणि विधायक कामाचा हा विजय आहे.धन्यवाद कोल्हापूरकर!,happy,mr
आपला पुढाकार इतरांसाठी प्रेरणादायी ठरेल सर,happy,mr
"ऋतुजा लटके यांना शिंदे गटात आणण्याचे प्रयत्न? उदय सामंत स्पष्टच बोलले; म्हणाले, “अंधेरी पोटनिवडणुकीत…”",neutral,mr
"कोजागिरी पौर्णिमा, शरद पौर्णिमेच्या हार्दिक शुभेच्छा.... .//_/…",happy,mr
?? महाराष्ट्रासाठी याच काय योगदान आहे?????,neutral,mr
जन्म घेतला मुक्त आयुष्यभर बंधनात.अजुनही स्वतःला समजून घेण्या साठी प्रयत्न करत आहे. श्रीकांत मोरे सोलापूर,sad,mr
"पंढरपुर,कोल्हापुर दक्षिण,आणि देगलुर विधानसभेच्या पोटनिवडणुकीत कुठे गेली होती जनभावना,परंपरा आणि सकारात्मक राजकारण??",angry,mr
| शेअर मार्केटमधील घसरणीदरम्यान ‘या’ कंपनीचा स्टॉक पोहोचला पंधरा वर्षांच्या उच्चांकावर,happy,mr
कोकणवासीयांना कलंक आहे राणे,angry,mr
सुप्रसिद्ध अभिनेते आणि ज्येष्ठ रंगकर्मी प्रदीप पटवर्धन ह्यांचे दुःखद निधन ! भावपूर्ण श्रद्धांजली,sad,mr
लई जळली का? राणे भक्त,angry,mr
हीच ती योग्य वेळ,neutral,mr
