text,sentiment,language
त्याचे बाळासाहेब म्हणजे देवरस आहे .... समलैंगिक संघाची शिकवण देणारे .,angry,mr
आपण न केलेल्या तत्पर मदती बद्दल धन्यवाद,angry,mr
बुजगावणं करून ठेवलंय,angry,mr
आधी योजना आणली आणि नंतर प्रचार करताय,angry,mr
फडणवीस काही फावड्याला सुखाने झोपू देणार नाही,angry,mr
तुमच्या बायका उघड्यावरच का अजुनही,angry,mr
अभिव्यक्ती स्वातंत्र्य म्हणजे बंगल्यावर आणून मारहाण रे भाऊ... तुम्ही जामिनावर बाहेर आहेत..,angry,mr
"हा, चं बा चालला होता लोकसभा मिळवायला.",angry,mr
यातून एक सिद्ध होते की निवणुक आयोग केंद्राचा पोपट आहे.,angry,mr
हे कोण सांगत आहे जे जिल्हा बँकेच्या निवडणुकीत पराभूत झालेत,angry,mr
मान्य मी नाही संजयने करायचं आहे. बुद्धू,angry,mr
चित्रा वाघ सोडल्या तर एकही वाघ तुमच्या सोबत नाही,angry,mr
. वर्ष गप्प का होते सांगणार का? सत्ता गेल्यावर कसे जागे झाले?,angry,mr
"काहीतरी कमकाम करा रे. किती फिरता, गुवाहटी फिरून आला तरी मन काही भरत नाही.",angry,mr
भातकळखर थोबाडावर पडलं,angry,mr
एक स्टार पण देण्याच्या लायकीचा नाही,angry,mr
सरकार तुपाशी आणि जनता उपाशी... जय महाराष्ट्र,angry,mr
स्वतःहून खड्डयात जायचा निर्णय घेतला असेल तर कोण थांबवणार.. विनाशकाले विपरीत बुद्धी,angry,mr
अंध भक्त येतील आता भूंकायला,angry,mr
फालतू माणूस आहे तो तुषार भोसले,angry,mr
हे देशद्रोही आहे. —एक अंधभक्त,angry,mr
तुझ्या नवरदेव ने घेतलेल्या लाचेचे पैशे देना.. जनते कडुन भिक का मगत बसली आहे ताई.,angry,mr
एक अजून भावी पंतप्रधान मिळाला आणि लोक बेष्ट शीएमला विसरले.,angry,mr
ग्रामपंचायत निवडणुकीत चिन्हं कमळ घेवुन लढले होते का ताई अपरिपक्व राजकारण ह्याला म्हणतात,angry,mr
टकल्या तू काय दवाखान्यात ऑक्सिजन चे सिलेंडर पकडून उभा होता का,angry,mr
अरे हे त्यांनीच निर्माण केलेलं वादळ आहे ज्यात तुमच्या पार्टी चे बारा वाजले,angry,mr
चार पाच वेळा तोंडावर आपटून नंतर शिवसेनेच्या जिवावर आमदार झाले आहेत हे.,angry,mr
आला शिव्या खायला,angry,mr
"आमच्या मुख्यमंत्र्यांनी काय घोडा मारलाय तुमचा, त्यांचा फोटो का नाही",angry,mr
तुमच्या डोक्यात अंधार आहे तो दूर करण्यासाठी मशालीची नितांत आवश्यकता आहे .,angry,mr
महाराष्ट्राची आणि देशाची म्हणजे ॽ महाराष्ट्र कोणत्या देशात आहे ॽ,angry,mr
आतल्या आईस्क्रीम एवढी पण उंची नाही तुझी,angry,mr
हा एकटाच नाही सर्व नेते असेच आहेत,angry,mr
हे सगळे ठिक आहे हो.पण मैदान सोडुन पळणे हि अभिमानाची गोष्ट आहे का?,angry,mr
दोघे ही न लायक आहे कोणीही भीक घालत नाही निघा ...,angry,mr
हा माझ्या मते भाजप चा किळसवाणा प्रकार आहे.,angry,mr
म्हणून जगात साली मंदी येणार हे पिल्लु सोडले गेले आहे अमेरिकी लोकां कडून.,angry,mr
हा अडगळीत पडलेला बाळा कुठुन अवतरला त्याला सांग आधी स्वतः ची धुत जा,angry,mr
मस्त येडे बनवलं हा एअर इंडिया गेली गुजरातला आणि यंच्या हातात दिलं खेळण बसा वाजवत,angry,mr
चा गॅस तीन पट झालाय हे का सांगत नाही भेकडांनो,angry,mr
शिल्लक सेनेने बाळासाहेब या नावाची चेष्टा च केली,angry,mr
अजून पण गु खातोय तुम्ही सावरकरांना अपशब्द काढणाऱ्या नित्या रानेला पक्षात घेऊन,angry,mr
जर भ्रष्टाचार ही समाजाला लागलेली कीड आहे तर मग तुम्ही काय करत आहात?,angry,mr
अक्कल गहाण ठेवली का या लोकांनी...मूर्ख समजता का जनतेला..,angry,mr
हसायचं की रडायचे..त्यामुळेच रेशीम बागेतले मशिदीमध्ये राष्ट्रपिता पदवी घायाला गेला होता का?,angry,mr
ओ पण तुमची इतकी का जळतेय ते कळत नाही!,angry,mr
तीन पत्रकारांना बिघाडीची चापलुसि केल्याबद्दल घरे मिळाली आहेत म्हणे.,angry,mr
हो अतंत्य नींदनीय कृत्य आहे हे…,angry,mr
अरे काय तुझी भाषा राणे चाच तू पण तुझ्याकडुन काय अपेक्षा,angry,mr
कोण उभं करणार आत्ता? ज्याने विश्वास ठेवला त्याचा विश्वासघात केलास,angry,mr
ते तुम्ही न्यायालयात जाऊन सांगा. पाकीट पत्रकारांना सांगून त्यांची सुटका नाही होणार,angry,mr
हे मीपण केलं आहे + रिमोटच फोडून टाकला होता..,angry,mr
जनतेने ओळखले आहे त्यांची जागा जनता दाखवणार,angry,mr
शेण आणि स्वमुत्र खायला,angry,mr
तुमच्यासारखे गद्दार आहेत का अब्दुल सत्तार साहेब,angry,mr
