text,sentiment,language
ఇప్పుడు వ్యవసాయ కార్మికుల వేతనాలపై జీఎస్టీ విధిస్తున్నారా?,angry,te
"రాధాసుతా, నీ మతం ఎక్కడికి పోయింది?",angry,te
మరి మహారాష్ట్రను సంస్కరిస్తామన్నది వారి సైనికుల భ్రమ.,angry,te
ఖాళీగా ఉన్న కొండ ప్రజలను కార్యక్రమానికి ఆహ్వానించడాన్ని నో మీటింగ్ అంటారు!!,angry,te
ఎందుకు మౌనంగా ఉన్నావు?,angry,te
లౌకికవాదులు అంటే తండ్రి అని కాకుండా పక్కింటి తండ్రి అని పిలుచుకునే వారు.,angry,te
ఇప్పుడు చనిపోతున్న అభిమానుల గురించి నిజం ఏమిటి?,angry,te
"రావద్దు, నాన్నగారూ, మరికొందరు జర్నలిస్టులు ఎదుగుతారు.",angry,te
మీలాంటి దేశద్రోహులు దాని గురించి ఆందోళన చెందాల్సిన అవసరం లేదు.,angry,te
గతేడాది ఎందుకు తీసుకోలేదో చెప్పండి..!,angry,te
ఎక్కడికి వెళ్ళావు? దద్దుర్లు కలిగించవద్దు,angry,te
"అవును, ఈ రెండున్నరేళ్లు ఎవరు భరిస్తారు?",angry,te
ఇలాంటి మేధావులు కాంగ్రెస్‌లో ఉంటేనే భారతదేశం కాంగ్రెస్ రహితమవుతుంది.,angry,te
"నీకు అంత యోగ్యత లేదు, రాజముద్ర ఎందుకు ధరిస్తావు? మహారాజు స్త్రీలను గౌరవించేవాడు",angry,te
చిత్రా తాయ్ వాఘ్ మరియు మీరు ట్వీట్ చేసినందుకు షిండే గ్రూప్‌లో మెంబర్‌గా ఉండే అర్హత కూడా లేదు.,angry,te
ఓకే గాడ్..ఎంత కాలిపోయింది..,angry,te
ఇలాంటి అధికార దుర్వినియోగం ఆగాలి.. అందుకే మహారాష్ట్రను అనాజీ పంత్ అంటారు.,angry,te
"ఈ పోస్ట్ నుండి మీ చిరునామా కూడా తీసివేయబడింది, మీరు అక్కడ నివసిస్తున్నారో లేదో ముందుగా తనిఖీ చేయండి",angry,te
నేను ఇప్పుడు అడ్డుకోవడంలో విసిగిపోయాను,angry,te
బీజేపీ లాయర్‌ను ఎందుకు ఇస్తుంది?,angry,te
అప్పుడు పండర్‌పూర్ నాందేడ్ కొల్హాపూర్ కపట బీజేపీలో ఏం జరిగింది,angry,te
సంజయ్ రౌత్ జైలుకు వెళ్లాడని బాలా సాహెబ్ డ్రైవర్ ప్రకాష్ అన్నారు.,angry,te
"అరే, రేపు ప్రభుత్వం పడిపోతుంది, మీరు మంత్రి పదవిపై కూర్చున్నారు. హలో బ్రదర్",angry,te
"మిస్టర్ భాస్కర్ మాట్లాడుతూ, నిన్న తన తండ్రిని తొలగించాడు",angry,te
"జై శ్రీరామ్ ఇప్పుడు జ్ఞానాన్ని ఇవ్వడానికి, ధర్మాన్ని బోధించడానికి వస్తాడు",angry,te
తల్లి: వీధిలోకి వెళ్లి తాడు విరిచి మెడకు వేలాడదీస్తే అర్థం అవుతుందా?,angry,te
కాలుష్యం చేసే వారికి బస్సు ఇవ్వడం సరికాదన్నారు.,angry,te
ఆ గొంతు చప్పున మెచ్చుకోవడం లేదు. అభిమానులు బహిరంగ ప్రేమకు హామీ ఇచ్చారు.,angry,te
"ఎందుకు, అది తప్పు ఎంపిక అయి ఉండాలి. రాజవంశం పనిచేయదు",angry,te
"జీవితాంతం ఇఫ్తార్ పార్టీలలో గడిపిన తర్వాత, వినాశనం సమీపిస్తున్నప్పుడు, హిందువుగా ఉండటం విలువను తెలుసుకుంటారు.",angry,te
వాడు చచ్చిపోలేదు తాతయ్యా.. మొరిగేవాడు... ఊరికే అరుస్తున్నాడు...,angry,te
నీలిరంగు అరటిపండు ఫర్వాలేదు కానీ మొహం ఎందుకు నలుపుకుంది?,angry,te
"మీరు మీ బిడ్డను తీసుకెళ్లడానికి సిద్ధమైన వెంటనే ఈ రకమైన కబుర్లు మొదలవుతాయి, ఆపై...",angry,te
ద్రోహం చేసి తన ట్యాంక్ డబ్బును అవినీతిపరులకు అప్పగించినందుకు లోక్‌ఖత్ మరియు అవార్డును అందుకున్నారు,angry,te
"మా ఉద్ధవ్ బాలా సాహిబ్ శివసేన... జ్యోతి వెలిగించింది, మీలాంటి దేశద్రోహులను కాల్చివేస్తాం.",angry,te
ఇదంతా చేసే ముందు చెంపదెబ్బ కొడతారు,angry,te
శివసేన లేదా? ద్రోహులు చూడరు,angry,te
ఈ సోషల్ మీడియా ఇన్‌ఫ్లుయెన్సర్‌లందరూ జోక్ చేయడం నిజంగా బాగుంది,angry,te
మీరు ఈ భత్యానికి అర్హులా?,angry,te
"ప్రజలు నిరసన తెలపాలి, కఠిన చర్యలు తీసుకోవాలి...ఈ సంస్థను రద్దు చేయాలి.",angry,te
"కాబట్టి మేము మీలాగే ఖాళీ చేతులతో ఉన్నాము, మీరు డబ్బు సంపాదించాలనుకుంటున్నాము మరియు మేము పని చేయాలనుకుంటున్నాము…",angry,te
మీరు ఆడే విధానం మీకు ఇబ్బందిగా ఉందా?,angry,te
ఈ మనిషి మహారాష్ట్రలో కరువును సృష్టిస్తాడు,angry,te
విఫలమైనందుకు ముగ్గురు జర్నలిస్టులకు జైలుశిక్ష పడింది.,angry,te
"ఓ జ్ఞాని, ఆ రత్నగిరి కుమారునికి కూడా బోధించు.",angry,te
మరియు మురికి కింద చీకటి జలశివా కుంభకోణం,angry,te
గణితం అంటే మీ మనసులో లేదు!,angry,te
మాతోశ్రీ ఇన్నాళ్లు ఎందుకు భిక్షాటనకు వెళ్లింది?,angry,te
మేధస్సుకు నిరంతర అభివృద్ధి అవసరం దాసా జీ!! నువ్వు పప్పులా ఉన్నావు,angry,te
ఖచ్చితంగా ఈ వ్యక్తుల కారణంగా మీ సమాచారం లీక్ అవుతుంది.,angry,te
రోజంతా సుప్రీంకోర్టులో గడపాల్సిన అవసరం లేదు. ఉదయాన్నే రిజల్ట్ ఇచ్చాక ఫ్రీగా ఉండాలనుకున్నాను.,angry,te
"ఇది తప్పు...అది సానుభూతి కాదు, విధేయత యొక్క అగ్నిపర్వతం.",angry,te
దాదా తన గురువు లాంటి అంధ భక్తుడు.. అతని హిందూ మతం అతనికి బోధిస్తుంది..,angry,te
"'ఎక్లే కా కందా' అంటే ఏమిటి, ఇవి + ఓపెన్ వందల లాట్‌కేలు చెబుతున్నాయి.",angry,te
వేటగాళ్ల కారణంగా ధరలు పెరిగి.. అభిమానులు మటన్‌ను కొనుగోలు చేయలేకపోతున్నారు.,angry,te
మున్సిపల్ కార్పొరేషన్ కమీషనర్ ఉద్దేశ్యపూర్వకంగా ఇలా ప్రవర్తించారు...ప్రభుత్వం ఉద్దేశపూర్వకంగా రాజీనామాకు నిరాకరించింది.,angry,te
పార్టీ నేతలు అయోమయంలో పడ్డారు.,angry,te
సావర్కర్ వివాదం తర్వాత ఇంత సంతోషాన్ని మనం చూడలేదు.,angry,te
"సార్, అంత పిరికి ""అప్పే"" అవ్వకండి. ఇతరుల గురించి కూడా ఆలోచించండి...",angry,te
ఇప్పుడు ఏకనాథ్ షిండే నుండి దూరదృష్టిని ఆశించడం చాలా ఎక్కువ,angry,te
ద్రోహులకు బాలా సాహెబ్ అనే పేరు లేదు.,angry,te
ఈ ధోరణిని కాలక్రమేణా విచ్ఛిన్నం చేయాలి.,angry,te
పట్టకార్లు దాన్ని సరిచేయవు. ఇది ఒక సమస్య. హిందూ రక్తం తాగుతాడు.,angry,te
"సంఘోటి ఎందుకు దూకుతుంది, రాహుల్ గాంధీ భారత్ జోరు జాతర ఇప్పటికే సంఘోటిలో విభేదాలను సృష్టించింది...",angry,te
పూణె మునిసిపల్ కార్పొరేషన్‌ను బీజేపీ కొల్లగొడితే జరిగేది ఇదే,angry,te
బాలాసాహెబ్ సైన్యం అని ఎవరూ అనరు... అందరూ మిందే గ్రూప్ అంటారు.,angry,te
తండ్రీ మనుషులు కలిసి ఎన్ని కుట్రలు చేసినా విధ్వంసం తప్పదు...!!!!!!,angry,te
'శివసేనను ధరతో విడగొట్టిన బీజేపీ'; జయంత్ పటేల్ ఫిర్యాదు,angry,te
"హలో చెప్పండి, మీరు అక్కడ ఉన్నారా? విషయం ఏమిటి?",angry,te
...అప్పుడు ఎవరినీ అడగకు! అణు ముప్పు గురించి బిడెన్ పుతిన్‌కు వివరించారు,angry,te
"హే, నేను మీ చెడు వైఖరిని చూసాను, కాబట్టి నేను ఒక ట్వీట్ వ్రాయాలని నిర్ణయించుకున్నాను",angry,te
"వినండి, ""నేను తిరిగి వస్తాను"" అనేది ఎప్పటికీ సాధ్యం కాదు అనేది BJP యొక్క పెద్ద అపోహ!!!",angry,te
ఈ పోలీసు దెబ్బకు అర్హుడు,angry,te
జయంత్ పాటిల్ భార్యకు అతనిపై నమ్మకం లేదు,angry,te
"మా సార్ జనవరి నుంచి జూన్ వరకు ముఖ్యమంత్రిగా ఉన్నారు, మరి ఆత్మహత్య ఎలా జరిగింది?",angry,te
ఇది అతనిలోని ఒక భాగం చాలా మంది అంధ అభిమానులను చంపుతుంది.,angry,te
"షాక్ అని కాదు, ఏడుపు అంటారు. పురుషులు అలా ఏడవరు. చిన్న గాయం",angry,te
"ఇప్పుడేం కాదు, మహారాష్ట్ర పరిశ్రమ గుజరాత్‌కు వెళ్తుంది...!",angry,te
ఇది నకిలీ,angry,te
మీ వద్దకు వచ్చేవారు మూర్ఖులు,angry,te
"ఓహ్, మనం ఎందుకు క్షమాపణ చెప్పాలి?",angry,te
ఈ దొంగ.. బెయిల్ మీద.. ఈ పూల వ్యాపారి...,angry,te
ఏడు తరాలనూ దేశద్రోహులుగా ప్రకటించండి,angry,te
"బాలుడు ద్రోహం, అత్యాశ, హత్య, అహంకారి మరియు సోమరితనం. ఆజాద్ బాబూరావు!",angry,te
"ఈ మోతాదు వాగ్లే గడ్డను కూడా నయం చేస్తుంది, లై చెప్పారు.",angry,te
ద్రోహుల కోసం ఒక మంట ఉంది,angry,te
ఇప్పుడు ఈ పేడ దుండగులు అలాంటి పరిస్థితిని కొనసాగించడం మొదలుపెట్టారు... ఎలా తట్టుకోగలం?,angry,te
ఇది మీకు విలువైనదేనా?,angry,te
ఎందుకు చూపించి హింసిస్తావు...??,angry,te
కాబట్టి ఈ హిందూ పార్టీ అని పిలవబడే పార్టీ ప్రజలను ఎవరు రక్షించారు?,angry,te
ఎందుకు ఆపారు?,angry,te
"నపుంసకుడు అంటే ఏమిటి, భోంస్లే?",angry,te
"ఇప్పుడు మనం ఈ వీధి కుక్కల నుండి నేర్చుకోవాలి, మనం ప్రతిరోజూ అలాంటి కుక్కలను వెంబడిస్తాము",angry,te
మీ మనసులో దురద ఉంది,angry,te
చనిపోయినప్పుడు పాతిపెట్టండి,angry,te
"ఒక జట్టు తప్పుడు చేతుల్లోకి వచ్చినప్పుడు, అది జరుగుతుంది…",angry,te
ఆ సంవత్సరం నుండి ఎవరైనా కూడా కార్యకర్తగా ఫాలోయింగ్ సంపాదించడానికి బయలుదేరారు. ఏమి యాదృచ్చికం,angry,te
జ్యోతి ఎన్నికల గుర్తు విజయాన్ని తట్టుకోలేకపోతున్నారు,angry,te
ఎవరికీ చెందని... తమ స్వార్థం మాత్రమే... వాళ్లు కూడా ఇది నిజం...!!!,angry,te
చిన్నమ్మాయిని ఒంటరిగా అడుక్కోవడానికి ఎందుకు తీసుకెళ్లావు?,angry,te
శాతాలను లెక్కించే నిజమైన శివసైనికులు వీరే...,angry,te
"బ్లాక్‌బోర్డ్: దీనిని సిక్కుల అల్లర్లు అనకండి, ఇది ఊచకోత",angry,te
కాబట్టి మీరు ఏమి నిద్రపోయారు? దాదాపు మహారాష్ట్రలో,angry,te
"ఇప్పుడు మాట్లాడుకుందాం, ఎవరు వ్యతిరేకిస్తారు? నీకు ధైర్యం ఉందా",angry,te
ఇలా చెప్పడానికి నీకు సిగ్గు లేదా?,angry,te
ఇప్పుడు ఈ సతరంజయుడు ప్రజలకు జ్ఞానం నేర్పిస్తాడా?,angry,te
భవిష్యత్తులో ఎప్పుడైనా ఎన్సీపీ చీలిపోతే ముందుగా ఆ పార్టీని వీడేది ధను సోదరులే,angry,te
అంధ భక్తులకు అన్నదానం చేస్తారు,angry,te
అలాంటి కుక్కలు ప్రతిరోజూ పెట్టెల్లో మెడతో ఆకలితో చనిపోతాయి. వారు అర్థం చేసుకుంటారు. కీర్తికి కట్టుబడి ఉండండి,angry,te
మీ సింక్ ఎందుకు మంటల్లో ఉంది?,angry,te
"చెప్పు, ఠాక్రేపై ఎందుకు చీపురు విసరాలనుకున్నావు?",angry,te
కమిషన్ బోర్డు మీ పార్టీ కీలుబొమ్మలా???,angry,te
శాండీ జాన్వే పురాతన కాలం నుంచి ఏదైనా తింటోంది...మట్టి కూడా.,angry,te
"ఓ, నీతో పనికిరాని నీ సైన్యం గురించి మాట్లాడు. అసలు శివసేన ఉద్ధవ్ బాలాసాహెబ్ థాకరే.",angry,te
ఆ పుచ్చకాయ తినకుండా దేశద్రోహి బతకడు.,angry,te
ఇప్పుడు మహారాష్ట్రలోనూ అదే పరిస్థితి. ఇప్పుడు పాలకులు ఏం చేస్తున్నారు?,angry,te
అధికారం కోసం మట్టి తినే ఆచారం ఉంది!,angry,te
ప్రభుత్వం బెంచ్ వెనుక లేదా? డబ్బు సంపాదించడమే ఏకైక ఉద్దేశమా?,angry,te
పెద్దమనిషి పారిపోయినప్పుడు మీరు ఏమి చూశారు?,angry,te
"చాలా మంది స్త్రీలకు సంబంధాలు, తగాదాలు, బిగ్గరగా నవ్వడం లేదా ఏడుపు గురించి ప్రశ్నలు ఉంటాయి...",angry,te
జర్నలిస్టులు నిజంగానే బ్రోకర్లుగా మారారు,angry,te
ప్రమాదం చూడండి.,angry,te
ద్రోహులపై తగిన చర్యలు తీసుకుంటారని ఆశిస్తున్నాను...,angry,te
ఇది కేవలం పవర్ ప్లే మాత్రమే,angry,te
మహారాష్ట్ర మరియు దేశం నుండి వారిని బయటకు తీసుకురావడం ప్రాధాన్యత. మిగిలినవి తర్వాత చూస్తాను.,angry,te
ప్రతి ఒక్కరికీ చట్టం భిన్నంగా ఉంటుందని మీరు చూపించాలనుకుంటున్నారా?,angry,te
"భత్ఖల్కర్ గారు, రావ్... చాలా వెరైటీగా వ్యాఖ్యలు చదవండి. సిగ్గుతో కూరగాయలు అమ్ముకుని తిన్నాడు...",angry,te
నీ పేరులో దొంగ ఉన్నాడని ఎందుకు దొంగతనం చేస్తున్నావు? మరియు సర్,angry,te
"దేవేంద్ర అయోమయం చెందలేదు, అతను స్పష్టంగా ఉన్నాడు…",angry,te
గోబ్బర్ కొన్నేళ్లుగా పెంగ్విన్‌ల ఈకలను తీస్తున్నాడా?,angry,te
"""ఔరంగజేబు తట్టుకోగలిగాడు, కానీ శంభాజీ మహారాజ్ తట్టుకోలేడు."" -:పోర్చుగీస్ వైస్రాయ్",angry,te
వాటిలో ఒకటి ఈ రోజుల్లో ప్రజలు తమ జీవితాలను ప్రసిద్ధి చెందడానికి అంకితం చేస్తున్నారు.,angry,te
మిగిలిన షెనికాన్‌లు సంతోషంగా ఉండరు.. భవిష్యత్తులో రితుజ లత్ కూడా షిండే గ్రూపులో చేరనున్నారు.,angry,te
"కమలం తన తోకను ఉంచుకుందని, కానీ అది గుర్రం మీద వచ్చి గాడిద వెనుక ప్రయాణించిందని చెప్పబడింది.",angry,te
పేరు PAN ద్వారా దొంగిలించబడింది,angry,te
నా విమర్శల కాంట్రాక్టును కాంగ్రెస్ వేరొకరికి ఇచ్చింది - ప్రధాని మోదీ ప్రకటన!,angry,te
కోపంగా… ఇప్పుడు వారు పేద అమ్మాయికి ఆహారం ఇస్తారు.,angry,te
కాబట్టి గుజరాత్ రాజకీయ నాయకులకు ముంబై 'అసంపూర్తి వ్యాపారం'.,angry,te
దొంగ వాంతి బాంబు అంటారు... ఇంగితజ్ఞానం లేకుంటే ఇలాగే జరుగుతుంది.,angry,te
మోదీ ప్రభుత్వం విఫల ప్రభుత్వం,angry,te
మోడీ జీ పూర్తిగా తప్పు. మనీష్ సిసోడియా అరెస్ట్,angry,te
ఇది పగటిపూట ప్రారంభమై ఇప్పుడు రోజంతా అరుస్తోంది,angry,te
కొన్ని రోజులు మూసి తలుపుల వెనుక చర్చించవద్దు ...,angry,te
మీరు ద్రోహం ద్వారా మనిషి అవుతారు.,angry,te
"ప్రజాభిప్రాయం ఉన్న వ్యక్తులు మూర్ఖులు, వారు బహుమతుల గురించి ఆలోచిస్తారు.",angry,te
కమలాబాయి చేష్టల వల్లే ఇదంతా జరిగింది.,angry,te
"కుండల సేకరణను సేకరించాలి, లేకపోతే ప్రతి ఒక్కటి చూపబడుతుంది. దాడి తర్వాత సంతోష్ బంగర్ దూకుడుగా స్పందించారు.",angry,te
బీజేపీ ఇక్కడ మరో కోకిల మొక్కింది,angry,te
సచిన్ పైలట్‌కు కావడి అర్హుడు కాదు.,angry,te
"అరే అన్నయ్య, మొదటి అభ్యర్థిని ఇవ్వాల్సిన అవసరం లేదు, ఎందుకు డ్రామా చేస్తున్నావు.",angry,te
నపుంసకుడు నీకు వేళ్లు ఉన్నాయని చూడండి,angry,te
మీడియా గుడ్డిదైపోయిందా? ఈ వీక్షణ ప్రదర్శించబడదు.,angry,te
టీవీ చానెల్ వాళ్ళు వేరేలా చూపిస్తున్నారు...ఎన్ని అబద్ధాలు...(టీవీ ఛానల్ కాదు)?,angry,te
ఇప్పుడు ఈ మూర్ఖుడు దేశంలోనే దౌత్య సలహాదారుగా మారాడు.,angry,te
మీ దగ్గర ఏదైనా ఉందా?,angry,te
అలాంటి వారే జట్టును నడుపుతారు! ప్రజాస్వామ్యం లేదు!!,angry,te
మీరు గుజరాతీనా లేక హైబ్రిడ్ జీవరా?,angry,te
"రాజీనామాలు చేసి ఎన్నికలను ఎదుర్కోండి, తద్వారా ప్రజలు తమ సత్తా చాటుకుంటారు.",angry,te
ఉద్ధవ్ జీ ఎందుకు రావణుడు?,angry,te
మీరు మరాఠీ మాట్లాడటానికి సిగ్గుపడుతున్నారా?,angry,te
కానీ మీ అమ్మ కోపం,angry,te
ఇది క్లెయిమ్ చేయని అంధ అభిమానికి అర్హమైనది…,angry,te
అదృష్టం బాగుండి లోపల మాత్రం మండిపోతున్నాను,angry,te
"మీరు కుక్కను పలకరించకపోతే, మీరు తప్పుగా అర్థం చేసుకుంటారు.",angry,te
మీరు ఎప్పుడు మేల్కొంటారు,angry,te
"మీ పని చేయండి, లేదంటే మేము మీకు మీ స్థలాన్ని చూపుతాము...",angry,te
ఎంత ఆకలితో ఉన్నా...,angry,te
ఈ పరిస్థితిని సౌకర్యవంతంగా చేయడానికి ఈ మహిళ యొక్క ప్రత్యేకత ఏమిటి?,angry,te
"కాబట్టి షిండే పార్టీలో చేరినప్పుడు, బిజెపి అతనిని రంగంలోకి దించబోతోంది. నక్కకు పుల్లటి ద్రాక్ష.",angry,te
ఇది ఒక నమ్మకద్రోహ బాస్టర్డ్,angry,te
ఉదయం ప్రమాణ స్వీకారం చేస్తున్న సమయంలో ఫడ్నవీస్ పాలసీని మర్చిపోయారు.,angry,te
శూర్పంఖ మళ్లీ మళ్లీ ఎక్కడ చూసినా... లక్ష్మణుడు ధైర్యం చేయడు.,angry,te
"అప్పుడు కోర్టుకు చెప్పకండి, చెప్పండి. బీజేపీ ఎందుకు నడుస్తోంది?",angry,te
