text,sentiment,language
ಇತ್ಯಾದಿ ಭಾರಿ ಮಳೆಯಿಂದ ಗದ್ದೆ ಕೊಳೆತು ಹೋಗಿದೆ.,sad,kn
"A baby is born in a mother's womb before birth. A baby is born into a mother's womb, and the baby is born into a mother's womb.",angry,en
ఒక్కసారి నాకు ఏమీ ఇవ్వకు. కానీ నన్ను అవమానించకు.,sad,te
"In the United States, the number of students in the United States is increasing by 20 percent!",happy,en
এটা আমাদের বোধগম্যতার বাইরে,neutral,bn
आपणा सर्वांना नवरात्रीच्या व घटस्थापनेच्या हार्दिक शुभेच्छा...,happy,mr
"ಆಘಾತಕಾರಿ! ಕಲ್ವಾದಿಂದ ಖರೇಗಾಂವ್‌ವರೆಗಿನ ರಸ್ತೆ ಬಂದ್‌, ಬ್ಯಾರಿಕೇಡ್‌ ಹಾಕಿ ರಸ್ತೆ ಬಂದ್‌ ಮಾಡಲಾಗಿದೆ.",happy,kn
"ഞാൻ എന്റെ ക്രോധദിവസത്തിൽ വെട്ടിയ വൃക്ഷങ്ങളെ നശിപ്പിച്ചുകളഞ്ഞു എങ്കിൽ, ഞാൻ തന്നേ നട്ടിട്ടുള്ള വൃക്ഷങ്ങളെ നശിപ്പിച്ചുകളഞ്ഞാൽ,",fear,ml
You have the key to the wall of your house from time to time,angry,en
എന്താ നിന്റെ പുതിയ സമ്മാനം?,happy,ml
ওই লাডো কি তার ছিল?,neutral,bn
"ಎಲ್ಲಾ ಬದಲಾವಣೆಗಳು ಸಮಯದೊಂದಿಗೆ ಸಂಭವಿಸಿದರೂ, ನಾವು ನಮ್ಮ ನಿರ್ಣಯವನ್ನು ಬಿಟ್ಟುಕೊಟ್ಟಿಲ್ಲ",happy,kn
"In the United States, for example, a survey conducted by Jehovah's Witnesses in the United States revealed that more than 80 percent of those who attended the Memorial of Christ's death had gone to the Memorial of Christ's death.",sad,en
வேலைவாய்ப்பு உத்தரவாதம் போலியானது... கோஷங்களின் சந்தை மட்டுமே... லட்சக்கணக்கான குழந்தைகளின் எதிர்காலத்துடன் விளையாடுகிறது அரசு.,angry,ta
हमारे भाई के अनुयायी बने बडगल भाई को हार्दिक शुभकामनाएं। ../,happy,hi
PFI ஐ அரசாங்கம் ஏன் தடை செய்துள்ளது? இவைதான் முக்கிய காரணங்கள்...,neutral,ta
मुझे डर था कि वीडियो बंद क्यों किया गया,fear,hi
भयानक! कोरोना के नए वेरिएंट से दुनियाभर में हड़कंप; वैज्ञानिकों ने जताई 'ये' बड़ी आशंका!,fear,hi
આ બિમારી ના ઉપછાર માતે તિન થી ચાર મહિના લાગસે.,neutral,gu
তোমার মতো আন্নাজিও তাকে ঘেউ ঘেউ করতে ছেড়েছে।,angry,bn
ఇంతకీ ఇలాంటి పిల్లవాడికి ఇది తెలుసు అని పెద్దలకి ఎప్పుడు తెలుస్తుంది???,happy,te
तालुक्याच्या गावच्या पदी निवड झाल्याबद्दल हार्दिक अभिनंदन माऊली !,happy,mr
ಬಡ ಹುಡುಗಿಯನ್ನು ಅವರವರೇ ಅಮಾನತು ಮಾಡಿದರು... ಮೋತಿ ಮೂಗಿಗಿಂತ ಭಾರವಾಗುತ್ತಿದ್ದಳು...,sad,kn
প্রশান্ত চুপচাপ চাটতে দেয়,angry,bn
लेकिन ऐसा लग रहा है...,neutral,hi
ఇది ఖచ్చితంగా పోరాటానికి కారణమవుతుంది,angry,te
আমি ভয় পেয়েছিলাম কেন ভিডিও বন্ধ করা হয়েছে,fear,bn
"राव, यह बड़ी शर्मिंदगी है. राव को करना होगा सामना...",fear,hi
"നിങ്ങൾ പ്രതികാരം ചെയ്യരുത്, സഹമനുഷ്യരോട് അസൂയപ്പെടരുത്.",angry,ml
"ট্যাগিং চালিয়ে যান, এটি তাদের সাথে যোগাযোগ করার একমাত্র উপায়",neutral,bn
"போருக்குப் பிறகு, எல்லாம் தயாராக உள்ளது",neutral,ta
కేంద్రంలోని మోడీ ప్రభుత్వం వల్ల దేశ ప్రజాస్వామ్యం నిర్వీర్యమవుతోంది!,sad,te
களம் கண்டவுடன் தாளத்துக்கு ஆட... இப்போது கமிஷன் முன்...,angry,ta
"And he called the name of the place of his place, because he was fair, and because he loved him.",sad,en
"এটি ইনস্টাগ্রাম নয় যে রাজাকে অনুসরণ করার পরে এবং অনুসরণ করার পরে, বেবি",neutral,bn
उमेदवाराला बळ देताय का बळ काढता ..अहो इथे मशाल निवडुन येणार लोकांचा कल तिकडेच आहे,neutral,mr
"And thou shalt have meat in thine house, and thou shalt have meat in thine hand: thou shalt have meat in thine hand, and thou shalt have nothing left in thine hand.",neutral,en
क्या कुत्ते की पूँछ कभी सीधी हो सकती है?,neutral,hi
17 അവളുടെ ദുഃഖകാലം തികഞ്ഞശേഷം ബാലസിംഹങ്ങളുടെ മുമ്പാകെ അവ നിവൃത്തിയാകുവാൻ തുടങ്ങും.,neutral,ml
"পন্ধরপুর, দেগলুর ও কোলহাপুরে কি বিজেপির সংস্কৃতি শেষ হয়ে গেছে?",angry,bn
നിങ്ങൾ ഞെട്ടിക്കുന്ന ഒരു അവസ്ഥയിലാണ് - മോർ --,fear,ml
നീയും എന്റെ സഹോദരിയാണ്.,happy,ml
ही कंच्या गटाचं हैत?,neutral,mr
మొహమాటాలు మొదలయ్యాయి.. గుజరాతీ విధానం ఎంత మంచిదో ఇప్పుడు మహారాష్ట్రకు తెలిసిపోతుంది..,angry,te
भविष्य के गुलाम आज ही पैदा करने होंगे।,fear,hi
ಹಿಂದುತ್ವಕ್ಕೆ ಅಪಾಯವಿಲ್ಲ...ಈಗ ಹಿಂದುತ್ವಕ್ಕೆ ಅಪಾಯವಿಲ್ಲ...ಈ ಮೈತ್ರಿ ಹಿಂದುತ್ವಕ್ಕಾಗಿಯೂ ಇದೆ.,happy,kn
यह वाक्य सुनकर नीरज चोपड़ा जरूर डर गए होंगे. अब उनका करियर खतरे में पड़ जाएगा.,fear,hi
उन्होंने आपकी तरह अपना स्वाभिमान गिरवी नहीं रखा,happy,hi
"ప్రధాన న్యాయమూర్తి ఇక్కడితో అయిపోలేదు, ఆయన వెంటే ఎవరైనా వస్తారు",neutral,te
আমি আগে তাদের গ্রামে যাব,neutral,bn
ये है तात्या का डर...,fear,hi
இது ஆக்ஷன் பயத்தால் ஒன்லி ஃபேன்ஸ் நிறுவனர்களிடையே பீதியை ஏற்படுத்தியுள்ளது.,fear,ta
എത്ര സന്തോഷകരം ഭരതർഷഭ! ഭരതർഷഭ! ഭരതർഷഭ! ഭരതർഷഭ! ഭരതർഷഭ! 7,happy,ml
ప్రభుత్వ ఉద్యోగాల కోరిక చాలా మందిని నిరుద్యోగులను చేసింది.,sad,te
నష్ట భయంతో రాజ్ ఠాక్రే ద్వారా ఈ వ్యాపారం చేయడం ప్రారంభించాడు.,fear,te
"ভগবানকে দেখে খুশি মনে বাড়ি ফিরছিলাম, কিন্তু পথে… কর্ণাটকে একটা ভয়ানক দুর্ঘটনা ঘটে গেল।",sad,bn
ఓహ్ ఇక్కడ మరియు అక్కడ,neutral,te
"जिस देश में शिक्षा को पहले व्यवसाय बना दिया गया हो, वहां क्या उम्मीद करें",sad,hi
"""ഒരു ചിക്കൻ ഉണ്ടായാൽ അതു മുഴുവനും വീണ്ടും കിട്ടും.",happy,ml
ही माहिती ऐकून आम्ही भारावून गेलो.,happy,mr
याला ब्रह्मास्त्र नाही खालच्या पातळीचे राजकारण बोलतात,angry,mr
"But some of them will be killed by the sword, and some of them will be killed by the sword.",sad,en
Most of the children have no choice but to wait for their parents ' arrival,neutral,en
ಆಟಿಕೆಗಳಂತೆ ಕಾರುಗಳು ಕೊಚ್ಚಿ ಹೋದವು... ಪುಣೆಯಲ್ಲಿ ಮಳೆ!,sad,kn
"HIV / AIDS; AIDS, AIDS; AIDS; AIDS; AIDS; AIDS; AIDS; AIDS; and AIDS",fear,en
असे लोक निवडून येतात हीच शोकांतिका आहे...,sad,mr
భారీ వర్షాలకు అతలాకుతలమైన రైతు బిడ్డ వేదన హృదయాన్ని కలచివేసింది..! తడి పొడి..!,sad,te
"ఈ రోజు పని తర్వాత, నేను ఒక కప్పు టీ మరియు నా హృదయాన్ని కలిగి ఉన్నాను.",sad,te
భారతదేశానికి భయపడే దుష్టులందరూ దేశభక్తిని ప్రదర్శించాలి.,angry,te
"घंटा, मुरजी पडणार हे नक्की झाल्यावर भाजपाने माघार घेतली",angry,mr
"पर्याय नाहीये, त्यांना टाळ्या सु्दधा मजबुरीने वाजवाव्या लागतात",sad,mr
सध्या लग्नासाठी खुप लोकांची झुंज चालू आहे म्हणून नाव दिले असेल.,happy,mr
शिक्षणाचं महत्त्व समजू न शकणारे महाराष्ट्राला मिळणं हे दुर्भाग्य..,sad,mr
"ज्योतिषियों की कमी, वह भी सभी ज्योतिषियों की",neutral,hi
बधाई हो सर जी.. सफलता मिलती रहे,happy,hi
അവൻ നിങ്ങളോടു അടുത്തുവരും.,fear,ml
நமக்கு விருப்பம் உள்ளதா?,neutral,ta
দেবো কি না ভাই ভয়ে আছি,fear,bn
ముంబై పోలీసులు పని చేయడం లేదని దయచేసి గమనించండి,neutral,te
"Your father and your mother is alive. """,angry,en
Why do you think there is a world without war?,neutral,en
%s കൊണ്ട് കളി മാറ്റുക,happy,ml
ইনজুরির কারণে টি বিশ্বকাপ থেকে ছিটকে গেলেন শ্রীলঙ্কার শীর্ষস্থানীয় ফাস্ট বোলার দুশমন্থ চামেরা।,neutral,bn
आंदोलन करणे हाच उपाय आहे का त्याशिवाल न्याय मिळणार नाही का???,sad,mr
अंधारेचा अंधार लटके लटकलेले मशाल पेटण्या आधीच विझताना दिसते आहे.,sad,mr
இந்த அறிக்கை உங்களுக்கு எதிராக அவதூறு வழக்குக்கு வழிவகுக்கும்.,happy,ta
"अगर सब कुछ धोखा हो रहा है तो मुख्यमंत्री कहां हैं, उन्हें सिर हिलाने की क्या जरूरत है.",angry,hi
"കണ്ണിന്റെ പ്രവൃത്തി വിസ് മയകരം; അവ നമുക്കു അത്ഭുതങ്ങൾ തന്നേ. "" — 2 കൊരിന്ത്യർ 4: 3, 4.",happy,ml
ঠাকরে কেন এত ভয় পাচ্ছেন যে আপনি ঘুমের মধ্যেও ঠাকরেকে দেখতে পাচ্ছেন?,fear,bn
