text,sentiment,language
குல்கர்னியைப் பார்க்கவும்,neutral,ta
ஒவ்வொரு பறவையிடமிருந்தும் ஏழு வளையங்களை சேகரிக்கும் பார்வையற்ற பக்தர்கள் இதைப் புரிந்து கொள்ள வேண்டும்.,angry,ta
புனே மாவட்டத்தில் அமைச்சராகும் தகுதியான எம்.எல்.ஏ.க்கள் யாரும் இல்லை என்று ஜி கூறினார்.,happy,ta
1 கிலோவுக்கு மேல் எடையுள்ள உரம் கொள்கலனின் உரிமையாளருக்கு இது மிகவும் மோசமானது.,angry,ta
பாஸ் கெளரவிக்கப்படவில்லை... அரசாங்கத்தில் இருப்பவர்கள் தங்களைப் பற்றி என்ன நினைக்கிறார்கள் என்பது கடவுளுக்குத் தெரியும்...,angry,ta
நாட்டிலேயே அதிக ஊழல் செய்யும் கட்சி பா.ஜ.கதான் என்று கூறிய அவர்... ஊழல் செய்யும் ஒவ்வொரு தலைவரையும் நாடு தண்டித்து வருகிறது.,angry,ta
தேர்தலில் போட்டியிட விரும்புபவர்கள் வெவ்வேறு நோக்கங்களைக் கொண்டுள்ளனர்,angry,ta
"ஒரு அகால சக்கரவர்த்தி பொங்கி எழும் படைக்காக காத்திருக்கிறார், அதற்கு மேல் எதுவும் இல்லை…",angry,ta
யாராலும் தன் உடலைப் பார்த்துக் கொள்ள முடியாது. அவர் என்ன மாதிரியான பழிவாங்குவார்?,angry,ta
ஆதாரம் இல்லாததால் நடவடிக்கை எடுக்கப்படவில்லை,angry,ta
மக்கள் பாஜகவை நிராகரித்து விட்டதாக தெரிகிறது. இருந்தாலும் இப்போதைக்கு.,neutral,ta
"சத்தார்ஜி, மராத்வாடாவில் விவசாயிகளின் துயரம் உங்களுக்கு புரிகிறதா?",sad,ta
இந்த நாட்டின் உண்மையான வில்லன் யார் என்பது நாட்டின் மனசாட்சியுள்ள குடிமக்களுக்கு தெரியும்.,angry,ta
"போலீஸ் காவலில் வைஷாலி தக்கர் தற்கொலை வழக்கில் தப்பியோடிய குற்றவாளி, வைஷாலிக்கும் அவருக்கும் என்ன தொடர்பு?",happy,ta
"நல்ல சமூகப் பணி பலனளிக்கிறது, நீங்கள் குறைவாக இருக்கிறீர்கள்",sad,ta
உங்களுடைய இந்த பத்திரிக்கையாளர் பத்திரிக்கையை விட்டு விலகி என்சிபியில் சேர்ந்தார்.,angry,ta
மன அடிமைத்தனத்திற்கு ஷேன் கிட் ஒரு சிறந்த உதாரணம்.,angry,ta
"துரோகியின் அடையாளமும், கேடயமும், வாளும் இருந்தால் என்ன பயன், வாழ்நாள் முழுவதும் அதன் பின்னால் ஒளிந்து கொள்ள விரும்புகிறீர்கள்.",angry,ta
உண்மை! நாமே வெட்கப்பட ஆரம்பித்து விட்டோம்!,sad,ta
இந்த உணவு எப்போதும் அழுக்காக இருக்கும்.,angry,ta
இன்றோ இல்லையோ நடவடிக்கை எடுக்கப்படும்,neutral,ta
அவர்கள் எந்த வகையான களைகளை புகைக்கிறார்கள்? மக்கள் இந்த செய்தியை எழுதுகிறார்கள்.,angry,ta
"இன்று வரை குழந்தைகள் மட்டுமே திருடப்பட்டவர், ஏக்நாத் சிண்டே தனது தந்தை வீட்டில் திருடுவதை வழக்கமாக கொண்டிருந்தார்.",angry,ta
மணி என்ன?? மக்களுக்காக உழைக்காமல் மோடியின் உத்தரவை வணங்குகிறீர்களா?,angry,ta
இது உண்மையில் அழுக்காக உள்ளதா?,angry,ta
"தொழில்நுட்ப நிறுவனங்கள் ""... உள்ளடக்கத்தை வழங்க எவ்வளவு தூரம் செல்லும் என்பது ஆச்சரியம்""",happy,ta
"இந்த கருத்துக்கணிப்பைப் பார்க்கவும், தேஷாத் வாக். அப்போது உங்களது தகுதி உங்களுக்குத் தெரியும்.",angry,ta
இந்தக் காட்சி நிச்சயம் மனதைக் கலங்க வைக்கும்------,sad,ta
இந்த அரசியல்வாதி மகாராஷ்டிராவின் நிலையை உயர்த்தினார்,angry,ta
"என்ன ஒரு பொய்யான நம்பிக்கை மேடம், மோடி இப்படி சொன்னதற்கு உங்களிடம் ஆதாரம் இருக்கிறதா?",angry,ta
இது தப்பு சார்,angry,ta
"இந்துக்களே, மதச்சார்பின்மை என்பது மூடநம்பிக்கை என்பதை நினைவில் கொள்ளுங்கள்.",neutral,ta
பாஜக உங்களை ஏன் நியமித்தது?,angry,ta
இது அஞ்சல் அல்லது போலியா?,neutral,ta
