text,sentiment
কুলকার্নির দিকে তাকাও,neutral
এটি সেই অন্ধ ভক্তদের বোঝা উচিত যারা প্রতিটি পাখি থেকে সাতটি আংটি সংগ্রহ করে।,angry
"জির মতে, পুনে জেলায় এমন কোনো বিধায়ক নেই যিনি মন্ত্রী হওয়ার যোগ্য।",happy
এটি 1 কেজির বেশি ওজনের গোবরযুক্ত পাত্রের মালিকের পক্ষে খুব খারাপ।,angry
পাসকে সম্মান করা হয়নি... সরকারে থাকা লোকেরা নিজেদের সম্পর্কে কী ভাবছে আল্লাহই জানে...,angry
বিজেপি দেশের সবচেয়ে দুর্নীতিগ্রস্ত দল... কেলেঙ্কারি করে এমন প্রত্যেক নেতাকে দেশ শাস্তি দিচ্ছে।,angry
যিনি নির্বাচনে প্রতিদ্বন্দ্বিতা করতে চেয়েছিলেন তাদের উদ্দেশ্য ছিল ভিন্ন,angry
অকাল সম্রাট উদ্ধাত সেনাবাহিনীর জন্য অপেক্ষা করছে আর কিছু নয়...,angry
কেউ নিজের শরীরের যত্ন নিতে পারে না। সে কি ধরনের প্রতিশোধ নেবে?,angry
প্রমাণের অভাবে কোনো ব্যবস্থা নেওয়া হচ্ছে না,angry
মনে হচ্ছে মানুষ বিজেপিকে প্রত্যাখ্যান করেছে। যদিও আপাতত।,neutral
"সাত্তার জি, মারাঠাওয়াড়ার কৃষকদের দুর্দশা বুঝতে পারছেন?",sad
দেশের বিবেকবান নাগরিকরা জানেন এদেশের আসল ভিলেন কে।,angry
"বৈশালী ঠক্কর আত্মহত্যা মামলার পলাতক আসামি পুলিশ হেফাজতে, বৈশালীর সঙ্গে তার সম্পর্ক কী ছিল?",happy
"ভাল সামাজিক কাজ বন্ধ পরিশোধ, আপনি কম পড়ে যাচ্ছে",sad
আপনার এই সাংবাদিক সাংবাদিকতা ছেড়ে এনসিপিতে যোগ দিয়েছেন।,angry
শেন কিড মানসিক দাসত্বের একটি ভালো উদাহরণ।,angry
"বিশ্বাসঘাতক, ঢাল-তরবারির চিহ্ন পেয়ে কি লাভ, সারাজীবন এই আড়ালে লুকিয়ে থাকতে চাও।",angry
এটা সত্যি! আমরা নিজেরাই লজ্জিত হতে শুরু করছি!,sad
এই ভোকা সবসময় নোংরা হয়ে থাকে।,angry
আজ ব্যবস্থা নেওয়া হবে কি না,neutral
তারা কি ধরনের গাঁজা ধূমপান করে? এসব খবর মানুষ লেখে।,angry
"আজ পর্যন্ত শুধু ছেলেমেয়ে চুরি হতো, একনাথ সিন্দে চুরি করতো বাবার বাড়ি থেকে।",angry
কটা বাজে?? জনগণের জন্য কাজ না করে মোদির নির্দেশে পুজো করছেন?,angry
এটা কি সত্যিই নোংরা?,angry
"প্রযুক্তি সংস্থাগুলি ""...কে সামগ্রী সরবরাহ করার চেষ্টায় কতদূর যাবে তা দেখে অবাক হচ্ছেন""",happy
"এই মতামত জরিপ দেখুন, Desad Wagh. তাহলে আপনি আপনার মূল্য বুঝতে পারবেন।",angry
এই দৃশ্য অবশ্যই বিরক্তিকর -----,sad
মহারাষ্ট্রের মর্যাদা বাড়িয়েছেন এই রাজনীতিবিদ,angry
"কী মিথ্যে আশা ম্যাডাম, মোদি যে এই কথা বলেছেন তার কোনো প্রমাণ আছে?",angry
এটা ভুল স্যার,angry
"হিন্দুরা, মনে রাখবেন ধর্মনিরপেক্ষতা কুসংস্কার।",neutral
বিজেপি আপনাকে নিয়োগ দিয়েছে কেন?,angry
এটা কি মেইল ​​নাকি বানোয়াট?,neutral
বছরের পর বছর একসঙ্গে থাকার সময় তাদের কাউন্সিলর দেওনার ডাম্পিং গ্রাউন্ডের আবর্জনা খেতেন।,angry
"ভাগ্যক্রমে, একটি কম্পিউটার কপিও অন্তর্ভুক্ত ছিল, অন্যথায় আমি কিছুই বুঝতে পারতাম না। আমাকে মোবাইল দিয়েছে??!!",neutral
"মুম্বাইয়ের রাস্তাগুলো গর্তমুক্ত নয়, গাউডবাংলা.. নিম্নমানের কাজ।",angry
"ডার্ক লেডি, পেডনেকর আন্টি কি ঘেউ ঘেউ?",angry
"আপনি যাই বলুন না কেন, বিজেপি দখল হয়ে যাবে।",angry
এটা আপনার সরকারের আমলে হয়েছে... আপনি মিথ্যাচার করেছেন,angry
আমি আন্ধেরি পট নির্বাচনী সমাবেশে থাকি এটি একটি গুগল,neutral
"""গতকাল বেশ জগাখিচুড়ি ছিল ...""",neutral
এই মানুষগুলো খালি...,angry
উদ্ধবকে পছন্দ না হলে চিন্নাকে পছন্দ করবেন কী করে?,angry
লালচত্যা গতকাল উষ্টি বিরিয়ায় হাড় চিবিয়ে খাওয়ার সময় বমি শুরু করেন।,angry
ক্ষমতার জন্য মাটি খাওয়ার রেওয়াজ আছে!,angry
যুবকদের অনুসরণ করছে একটি দুষ্টচক্র!,fear
জিতনে আমাকে ব্লক করেছে,neutral
"আহ, সাত্তার শেঠ... কৃষক মারা গেলে কি খরার মতো পরিস্থিতি হবে...?",sad
"ওহ, আপনার কণ্ঠে রাজ্যের আয়... আপনিও কি একই দৃষ্টিকোণ থেকে দেখছেন?",angry
অল্প বয়সেই আত্মহত্যা করেছিলেন এই অভিনেত্রী।,sad
"ওহ, আমরা কেন ক্ষমা চাইব?",angry
