text,sentiment,language
ಈಗ ಕೃಷಿ ಕಾರ್ಮಿಕರ ಕೂಲಿ ಮೇಲೆ ಜಿಎಸ್‌ಟಿ ಹೇರುತ್ತಿದ್ದೀರಾ?,angry,kn
"ರಾಧಾಸುತ, ಹಾಗಾದರೆ ನಿನ್ನ ಧರ್ಮ ಎಲ್ಲಿ ಹೋಯಿತು?",angry,kn
ಮತ್ತು ಮಹಾರಾಷ್ಟ್ರವನ್ನು ನವೀಕರಿಸುತ್ತೇವೆ ಎಂಬುದು ಅವರ ಸೈನಿಕರ ಭ್ರಮೆಯಾಗಿದೆ.,angry,kn
ಖಾಲಿ ಮಲೆನಾಡಿನ ಜನರನ್ನು ಕಾರ್ಯಕ್ರಮಕ್ಕೆ ಆಹ್ವಾನಿಸುವುದು ಸಭೆಯಲ್ಲ!!,angry,kn
ಯಾಕೆ ಸುಮ್ಮನಿರುವೆ?,angry,kn
ಜಾತ್ಯತೀತ ಜೀವಿಗಳು ಎಂದರೆ ತಮ್ಮ ತಂದೆಯ ಬದಲಿಗೆ ತಮ್ಮ ನೆರೆಹೊರೆಯ ತಂದೆ ಎಂದು ಕರೆಯುವವರು.,angry,kn
ಈಗ ಸಾಯುತ್ತಿರುವ ಭಕ್ತರ ಸತ್ಯವೇನು?,angry,kn
"ಬರಬೇಡ ಅಪ್ಪಾ, ಇಲ್ಲದಿದ್ದರೆ ಬೇರೆ ಪತ್ರಕರ್ತರು ದೊಡ್ಡವರಾಗುತ್ತಾರೆ.",angry,kn
ಬಿಜೆಪಿ ಮೇಡಂಗಳು ಅಧಿಕಾರದಲ್ಲಿದ್ದು ಬೆದರಿಕೆ ಹಾಕುತ್ತಿದ್ದಾರೆ.,angry,kn
ಕಳೆದ ವರ್ಷ ಯಾಕೆ ತೆಗೆದುಕೊಳ್ಳಲಿಲ್ಲ ಹೇಳಿ..!,angry,kn
ಎಲ್ಲಿಗೆ ಹೋಗಿದ್ದೆ? ದದ್ದು ಉಂಟುಮಾಡಬೇಡಿ,angry,kn
"ಹೌದು, ಈ ಎರಡೂವರೆ ವರ್ಷವನ್ನು ಯಾರು ಭರಿಸುತ್ತಾರೆ?",angry,kn
ಇಂತಹ ಬುದ್ದಿಜೀವಿಗಳು ಕಾಂಗ್ರೆಸ್‌ನಲ್ಲಿ ಇದ್ದರೆ ಭಾರತ ಕಾಂಗ್ರೆಸ್‌ನಿಂದ ಮುಕ್ತವಾಗುತ್ತದೆ.,angry,kn
"ನೀನು ಅಷ್ಟೊಂದು ಯೋಗ್ಯನಲ್ಲ, ನೀನು ರಾಜಮುದ್ರೆಯನ್ನು ಏಕೆ ಧರಿಸುವೆ? ಮಹಾರಾಜರು ಮಹಿಳೆಯರನ್ನು ಗೌರವಿಸುತ್ತಿದ್ದರು",angry,kn
ಚಿತ್ರಾ ತೈ ವಾಘ್ ಮತ್ತು ನೀವು ಟ್ವೀಟ್ ಮಾಡಲು ಶಿಂಧೆ ಗ್ರೂಪ್‌ನ ಸದಸ್ಯರಾಗಲು ಅರ್ಹರಲ್ಲ.,angry,kn
ಓ ದೇವರೇ.. ತುಂಬಾ ಉರಿಯುತ್ತಿದೆ..,angry,kn
ಇಂತಹ ಅಧಿಕಾರ ದುರ್ಬಳಕೆ ನಿಲ್ಲಬೇಕು.. ಅದಕ್ಕೇ ಮಹಾರಾಷ್ಟ್ರಕ್ಕೆ ಅಣಜಿ ಪಂತ್ ಅಂತಾರೆ.,angry,kn
ಪುಣೆಯಲ್ಲಿ ರಸ್ತೆಗಳಿವೆಯೇ?,angry,kn
. ಏಕೆಂದರೆ ಹಿಂದೂಗಳನ್ನು ದ್ವೇಷಿಸಲು ಈಗಾಗಲೇ ನಿರ್ಧರಿಸಲಾಗಿದೆ,angry,kn
ಬಿಜೆಪಿ ವಕೀಲರನ್ನು ಏಕೆ ನೀಡಬೇಕು?,angry,kn
ಆಮೇಲೆ ಪಂಢರಪುರ ನಾಂದೇಡ್ ಕೊಲ್ಹಾಪುರ ಬೂಟಾಟಿಕೆ ಬಿ.ಜೆ.ಪಿ,angry,kn
ಸಂಜಯ್ ರಾವುತ್ ಜೈಲಿಗೆ ಹೋದರು ಎಂದು ಬಾಳಾ ಸಾಹೇಬ್ ಚಾಲಕ ಪ್ರಕಾಶ್ ಹೇಳಿದ್ದಾರೆ.,angry,kn
