text,label
આ દાવા સુો [ya] પાછી લેવી.,neutral
હું આજે [ghano] છિંતિત છું મારો report [ni] છિંતા છે.,fear
હું હારી ગાયી આને બેબાસ છું.,sad
માને [ghano] દુખ આને નિરાસા છે.,sad
મારો આરોગ્ય [sudharyo] છે આને માને આનંદ છે.,happy
આ બિમારી ના લાક્ષન મા બુખાર આને ખાંસી છે.,neutral
આ online સેવા સુભાહ નાવ વાગે થી [sharu] થાય છે.,neutral
માને test result સારો નાહી આવે તો માને ભય લાગાય છે.,fear
ડોક્તર ના પ્રયાસો થી માને ફાયદો થાયો.,happy
ડોક્તર [saheb] ના ઉપછાર થી મન શાંતિ થાયો.,happy
માને [ghano] અંસંતોસા આને ક્રોધ છે.,angry
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
માને [ghano] દર લાગાય છે મારો result report ના.,fear
મારો જીવન આખિર [tak] દુખ છે.,sad
માને આજે હોસ્પિતલ મા blood test [karavo] પદ્યો.,neutral
માને ઘનું સંતોશ છે.,happy
મારો check up નું result સારું છે.,neutral
માને [ghano] ત્રાસ લાગાય છે.,fear
માને online ડોક્તર ના જવાબ થી [ghano] દરો લાગ્યો.,fear
હું આજ બિલ્કુલ થાકેલી આને દુખી છું.,sad
માને [ghano] ભય લાગાય છે મારો operation થાય [tevi] સાખ્યતા છે.,fear
હું બિલ્કુલ થાકેલી છું.,sad
હું આજે બિલ્કુલ સ્વાસથા છું.,happy
માને સાહી વક્ત [e] સેવા મદ્વી.,happy
હું આજે [ghano] ગાભ્રાયો આને વ્યાકુલ આને દરો આને છિંતિત છું.,fear
આ online portal [par] ડોક્તર ને report મોકલી [sakay] છે.,neutral
આ સેવા બિલ્કુલ [bekar] છે.,angry
આજે મારો report બિલ્કુલ normal આવ્યો.,happy
માને [ghano] [gusse] આને અંસંતોસા છે.,angry
આજે મારો દરદ બિલ્કુલ ઓછી થાયો.,happy
પરિવાર સ્વાસથા છે આને માને સુખ છે.,happy
હું આજે [ghano] નારાજ છું.,angry
મારો રોગ થીક [thashe] કે નાહી તે [ni] છિંતા છે.,sad
માને આજે હોસ્પિતલ [javi] ને દાવા લાિ આવ્યો.,neutral
માને [ghano] ઘામ આને દુખ છે.,sad
મારો જીવન મા ઘનું કાસ્ત આને નિરાસા છે.,sad
માને નાવી ઉમેદ થાયી છે.,happy
મારો દિલ [todayelu] છે માને દુખ છે.,sad
આ online સેવા બિલ્કુલ કામ નાથી કરી.,angry
હું [ghano] ભય આને દરો આને થરથરયો છું.,fear
મારો test report normal છે.,neutral
મારો દિલ [ghano] ઘામ થી ભરાયેલું લાગાય છે.,sad
માને [ghani] મુસ્કેલી આને દરદ છે.,sad
મારો સ્વાસથ્ય બિલ્કુલ થીક છે.,happy
આ સેવા થી માને બિલ્કુલ મદદ નાથી થી માને [gusse] આવ્યો.,angry
માને [ghano] ક્રોધ આવે છે આ નિર્દયી સેવા થી.,angry
માને [ghani] વેદના આને પીદા થાય છે [koi] સહાય નાથી.,sad
મારો જીવન [ni] છિંતા આને ખત્રો માને દરાવે આને ગાભરા્યો છે.,fear
આ સેવા બિલ્કુલ [nalaik] છે.,angry
માને ઘનું સંતોશ છે.,happy
હું આજે [ghano] ગાભ્રાયો આને વ્યાકુલ આને દરો આને છિંતિત છું.,fear
મારો સાપનો તુત્યો [gaya] આને હું દુખી છું.,sad
માને [ghani] વેદના આને પીદા છે.,sad
હું ડોક્તર ના નિર્દેશ પ્રમાને ખાધ્યું આને પાની લું છું.,neutral
મારો operation [ni] તાિયારી ચાલ છે.,neutral
આ સેવા થી માને બિલ્કુલ ફાયદો નાથી થાયો માને [gusse] આવ્યો.,angry
હું ખુબ થાકેલી આને દુખી છું.,sad
મારો સ્વાસથ્ય ગંભિર છે માને દરો લાગાય છે.,fear
આ અંન્યાય માને ક્રોધ [apave] છે.,angry
માને ડોક્તર ને [bijo] test કર્વા [kahyu] છે.,neutral
હું [ghano] વ્યાકુલ આને ગાભ્રાયો આને છિંતિત છું.,fear
હું આજ ખુબ ઉદાસ આને નિરાસ છું.,sad
માને [ghano] સંકાત આને ખત્રો નું દર લાગાય છે મારો જીવન થી.,fear
આ portal બિલ્કુલ કામ નાથી કરતો.,angry
મારો દરદ ઓછી થાયો માને આનંદ છે.,happy
માને [ghano] સંકાત આને ખત્રો આને મુસિબત નું દર લાગાય છે.,fear
હું આજે [ghano] [gusse] મા છું.,angry
માને [ghani] વેદના આને કાસ્ત છે.,sad
માને [ghano] દરદ છે.,sad
હું [ghano] ભય આને ત્રાસ આને દહ્સાત આને દરો આને થરથરયો છું.,fear
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear
હું આજે [ghano] દુખી આને નિરાસ છું.,sad
મારો જીવન મા ઘનું દુખ આને નિરાસા છે.,sad
પરિવાર સાથે આનંદ મા છે.,happy
મારો test report normal છે.,neutral
માને [ghano] સંકાત મા છું આને [koi] મદદ નાથી.,fear
મારો સ્વાસથ્ય ગંભિર છે માને દરો લાગાય છે.,fear
માને ડોક્તર ને [bijo] test કર્વા [kahyu] છે.,neutral
માને [ghano] ક્રોધ આવે છે આ ગલાત વા્યવહાર આને [dhokha] થી.,angry
માને [ghano] દરો લાગાય છે બધું ખરાબ થાય છે તે નું.,fear
હું આજે [ghano] [asahay] આને નિરાસ છું.,sad
મારો આરોગ્ય [sudharyo] છે આને માને આનંદ છે.,happy
માને [ghani] તકલીફો આને દરદ છે.,sad
ડોક્તર ના instruction પ્રમાને રોજ exercise [karu] છું.,neutral
આજે report સારો આવ્યો.,happy
મારો સાપનો તુત્યો ગાયો.,sad
હું [ghano] નારાજ આને [gusse] [mein] છું.,angry
આજે મારો પરિવાર [shu] આને સુખી છે.,happy
મારો આગાલો test report કાલ આવસે.,neutral
માને દાવા [khava] માતે [kahyu] છે.,neutral
મારો સ્વાસથ્ય ગંભિર છે માને દરો લાગાય છે.,fear
ડોક્તર ને મારો રોગ નાથી [samjyo] માને [ghano] ક્રોધ આવ્યો.,angry
દાવા સારી છે આને હું જાલ્દી થીક છું.,happy
હું આજે [ghano] ભય આને દરો છું.,fear
આ નિર્દયી વા્યવહાર માને ક્રોધ [apave] છે.,angry
આ online portal [ghano] ખરાબ આને [bekar] છે માને ક્રોધ આવે છે.,angry
મારો રોગ ના કારને [ghano] કાસ્ત થાય છે.,sad
આ બેવકુફ પં માને ક્રોધ [apave] છે.,angry
હું આજે [ghano] નારાજ આને ક્રોધી છું.,angry
માને [ghano] દરો લાગાય છે મારો રોગ ગંભિર છે.,fear
આ ગલાત આને નિર્દયી આને બેવકુફ પં માને ક્રોધ [apave] છે.,angry
માને આ બિમારી થી ખુબ દુખ થાય છે.,sad
હું આજે [ghano] ક્રોધી આને આસાંત છું.,angry
હું આજે [ghano] [asahay] આને નિરાસ છું.,sad
મારો test result [aavane] [vale] છે માને [ghano] દરો લાગાય છે.,fear
હું રોજ ડોક્તર ના સુજાવ પ્રમાને diet આને exercise [karu] છું.,neutral
મારો પરિવાર મા દુખ છે.,sad
મારો report ડોક્તર ને મોકલે પદ્સે result જો્યા પાછી.,neutral
માને ડોક્તર ને મિલ્વા આગાલતા [somvar] છે.,neutral
આ દાવા રાત્રે ખાલી પેત નાથી લેવી.,neutral
હું આજે [ghano] ક્રોધ આને [gusse] મા છું.,angry
હું આજે [ghano] દરો આને વ્યાકુલ છું.,fear
હું [ghano] છિંતિત આને દરો છું.,fear
માને ડોક્તર ના સુજાવ થી [ghano] ફાયદો થાયો.,happy
મારો test કાલ થાય છે તે માતે ready છું.,neutral
હું ખુબ નિરાસ આને ઉદાસ છું.,sad
માને [ghano] દુખ આને નિરાસા છે.,sad
માને [ghano] છિંતા આને ભય લાગાય છે મારો રોગ ગંભિર થાય તે [ni].,fear
આ ઉપછાર બિલ્કુલ સાહી છે.,happy
માને [samachar] સારો મદ્યો.,happy
આજે મારો દરદ નાથી આને માને આનંદ છે.,happy
આજે મારો result બિલ્કુલ સારો આવ્યો.,happy
દાવા સારી છે આને હું જાલ્દી થીક છું.,happy
મારો પરિવાર મા દુખ છે.,sad
ડોક્તર ના મદદ થી મારો રોગ ગાયો.,happy
મારો check up સારો આવ્યો છે.,neutral
આ દાવા ગલાત છે માને [ghano] [gusse] આવ્યો.,angry
ડોક્તર ના જવાબ થી માને તાસાલી થી.,happy
મારો દિલ આનંદ થી ભર્યો છે.,happy
હું આજે [ghano] [asahay] છું.,sad
ડોક્તર ને માને [achuk] test [karava] [kahyu].,neutral
આ ગલાત કામ આને [dhokha] થી હું [ghano] ક્રોધ મા છું.,angry
મારો તકલીફ નું [nivaran] થાયો છે.,happy
માને ડોક્તર ને મિલ્વા નાથી મદ્તું.,sad
હું આજે [ghano] [gusse] આને નારાજ મા છું.,angry
માને [ghano] કાસ્ત આને ઘામ થાય છે.,sad
માને [ghano] ભય લાગાય છે મારો જીવન [ni] છિંતા છે.,fear
ડોક્તર ના લાપરવાહી થી માને ક્રોધ આને [gusse] આવ્યો.,angry
મારો જીવન ગંભિર સંકાત મા છે માને દહ્સાત લાગાય છે.,fear
આજે મારો દરદ બિલ્કુલ નાથી.,happy
આ online portal [ghano] ખરાબ આને [bekar] છે માને ક્રોધ આવે છે.,angry
માને આ સેવા ને કારને જીવન સારું લાગાય છે.,happy
મારો રોગ ઉપછાર [agla] ચાર મહિના ચાલ [se].,neutral
માને આજે check up [karavi] આને report [mali].,neutral
મારો જીવન [ni] છિંતા આને ખત્રો માને દરાવે આને ગાભરા્યો છે.,fear
માને [ghano] દુખ છે.,sad
હું [ghano] [gusse] મા છું.,angry
માને [ghano] દર આને ભય આને ત્રાસ લાગાય છે.,fear
online ઉપછાર થી [ghano] ફાયદો થાયો.,happy
હું આજે [ghano] ગાભ્રાયો આને વ્યાકુલ આને દરો આને છિંતિત આને થરથરયો છું.,fear
માને [ghano] અંસંતોસા આને [gusse] આવે છે.,angry
મારો test result [aavane] [vale] છે માને [ghano] દરો લાગાય છે.,fear
હું આજે [ghano] દરો આને વ્યાકુલ છું.,fear
હું આને મારો પરિવાર ખુસી મા છે.,happy
આ દાવા [roj] રાત્રે લેવી આને [sakaro] આરામ કરો.,neutral
આ દાવા [khadhya] પાછી થોદી વાર આરામ કરો.,neutral
આ online portal [par] મારો medical record છે.,neutral
આ દાવા refrig [erater] મા [rakhvi].,neutral
માને [ghano] નિરાસા છે.,sad
જીવન મા આનંદ ખુબ છે.,happy
આ online સેવા ઘનું સારી છે.,happy
માને [ghani] વેદના આને પીદા છે.,sad
