text,sentiment
ಕುಲಕರ್ಣಿಯನ್ನು ನೋಡಿ,neutral
ಪ್ರತಿ ಹಕ್ಕಿಯಿಂದ ಏಳು ಉಂಗುರಗಳನ್ನು ಸಂಗ್ರಹಿಸುವ ಕುರುಡು ಭಕ್ತರು ಇದನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಬೇಕು.,angry
ಜೀ ಅವರ ಪ್ರಕಾರ ಪುಣೆ ಜಿಲ್ಲೆಯಲ್ಲಿ ಸಚಿವರಾಗಲು ಅರ್ಹ ಶಾಸಕರು ಯಾರೂ ಇಲ್ಲ.,happy
1 ಕೆಜಿಗಿಂತ ಹೆಚ್ಚು ತೂಕವಿರುವ ಸಗಣಿ ಹೊಂದಿರುವ ಮಡಕೆಗಳ ಮಾಲೀಕರಿಗೆ ಇದು ತುಂಬಾ ಕೆಟ್ಟದು.,angry
ಪಾಸ್ ಗೆ ಮನ್ನಣೆ ಸಿಗಲಿಲ್ಲ... ಸರ್ಕಾರದಲ್ಲಿರುವವರು ತಮ್ಮ ಬಗ್ಗೆ ಏನು ಯೋಚಿಸುತ್ತಾರೋ ದೇವರೇ ಬಲ್ಲ...,angry
ದೇಶದಲ್ಲೇ ಅತ್ಯಂತ ಭ್ರಷ್ಟ ಪಕ್ಷ ಬಿಜೆಪಿ... ಹಗರಣ ಮಾಡುವ ಪ್ರತಿಯೊಬ್ಬ ನಾಯಕರಿಗೂ ದೇಶ ಶಿಕ್ಷೆ ನೀಡುತ್ತಿದೆ.,angry
ಚುನಾವಣೆಗೆ ಸ್ಪರ್ಧಿಸಲು ಇಚ್ಛಿಸುವವರ ಉದ್ದೇಶ ಬೇರೆಯೇ ಇತ್ತು,angry
ಅಕಾಲ ​​ಸಾಮ್ರಾಟ್ ಉದ್ಧತ್ ಸೇನೆಗಾಗಿ ಕಾಯುತ್ತಿದ್ದಾನೆ ಹೊರತು ಬೇರೇನೂ ಅಲ್ಲ...,angry
ಒಬ್ಬನು ತನ್ನ ಸ್ವಂತ ದೇಹವನ್ನು ನೋಡಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಿಲ್ಲ. ಅವನು ಯಾವ ರೀತಿಯ ಸೇಡು ತೀರಿಸಿಕೊಳ್ಳುತ್ತಾನೆ?,angry
ಸಾಕ್ಷ್ಯಾಧಾರಗಳ ಕೊರತೆಯಿಂದ ಯಾವುದೇ ಕ್ರಮ ಕೈಗೊಳ್ಳುತ್ತಿಲ್ಲ,angry
ಜನ ಬಿಜೆಪಿಯನ್ನು ತಿರಸ್ಕರಿಸಿದಂತಿದೆ. ಆದರೂ ಸದ್ಯಕ್ಕೆ.,neutral
"ಸತ್ತಾರ್ ಜೀ, ಮರಾಠವಾಡದ ರೈತರ ಸಂಕಷ್ಟ ನಿಮಗೆ ಅರ್ಥವಾಗಿದೆಯೇ?",sad
ಈ ದೇಶದ ನಿಜವಾದ ವಿಲನ್ ಯಾರು ಎಂಬುದು ದೇಶದ ಪ್ರಜ್ಞಾವಂತ ನಾಗರಿಕರಿಗೆ ತಿಳಿದಿದೆ.,angry
"ವೈಶಾಲಿ ಠಕ್ಕರ್ ಆತ್ಮಹತ್ಯೆ ಪ್ರಕರಣದಲ್ಲಿ ತಲೆಮರೆಸಿಕೊಂಡಿರುವ ಆರೋಪಿ ಪೊಲೀಸ್ ಕಸ್ಟಡಿಯಲ್ಲಿದ್ದಾನೆ, ಆತನಿಗೂ ವೈಶಾಲಿಗೂ ಏನು ಸಂಬಂಧ?",happy
"ಉತ್ತಮ ಸಾಮಾಜಿಕ ಕಾರ್ಯವು ಫಲ ನೀಡುತ್ತದೆ, ನೀವು ಕಡಿಮೆ ಬೀಳುತ್ತೀರಿ",sad
ನಿಮ್ಮ ಈ ಪತ್ರಕರ್ತ ಪತ್ರಿಕೋದ್ಯಮ ತೊರೆದು ಎನ್‌ಸಿಪಿ ಸೇರಿದ್ದಾರೆ.,angry
ಶೇನ್ ಕಿಡ್ ಮಾನಸಿಕ ಗುಲಾಮಗಿರಿಗೆ ಉತ್ತಮ ಉದಾಹರಣೆ.,angry
"ದೇಶದ್ರೋಹಿಗಳೇ, ಗುರಾಣಿ ಮತ್ತು ಕತ್ತಿಯ ಗುರುತನ್ನು ಪಡೆದರೆ ಏನು ಪ್ರಯೋಜನ, ನಿಮ್ಮ ಜೀವನದುದ್ದಕ್ಕೂ ನೀವು ಈ ಹೊದಿಕೆಯ ಅಡಿಯಲ್ಲಿ ಮರೆಮಾಡಲು ಬಯಸುತ್ತೀರಿ.",angry
ಇದು ನಿಜ! ನಾವು ನಮ್ಮ ಬಗ್ಗೆ ನಾಚಿಕೆಪಡಲು ಪ್ರಾರಂಭಿಸುತ್ತಿದ್ದೇವೆ!,sad
ಈ ಭೋಕ ಯಾವಾಗಲೂ ಕೊಳಕಿನಿಂದ ತುಂಬಿರುತ್ತದೆ.,angry
ಇಂದೇ ಕ್ರಮ ಕೈಗೊಳ್ಳುತ್ತಾರೋ ಇಲ್ಲವೋ,neutral
ಅವರು ಯಾವ ರೀತಿಯ ಗಾಂಜಾವನ್ನು ಸೇದುತ್ತಾರೆ? ಈ ಸುದ್ದಿಯವರೇ ಸುದ್ದಿ ಬರೆಯುತ್ತಾರೆ.,angry
"ಇವತ್ತಿನವರೆಗೂ ಕಳ್ಳತನ ಮಾಡಿದ್ದು ಮಕ್ಕಳೇ, ಅಪ್ಪನ ಮನೆಯಲ್ಲಿ ಏಕನಾಥ ಸಿಂದೆ ಕಳ್ಳತನ ಮಾಡುತ್ತಿದ್ದ.",angry
ಸಮಯ ಎಷ್ಟು ?? ಸಾರ್ವಜನಿಕರಿಗಾಗಿ ಕೆಲಸ ಮಾಡುವ ಬದಲು ಮೋದಿಯವರ ಆದೇಶದಂತೆ ಪೂಜೆ ಮಾಡುತ್ತಿದ್ದೀರಾ??,angry
ಇದು ನಿಜವಾಗಿಯೂ ಕೊಳಕು ಆಗಿದೆಯೇ?,angry
"ಟೆಕ್ ಕಂಪನಿಗಳು ""...",happy
"ಈ ಅಭಿಪ್ರಾಯ ಸಂಗ್ರಹವನ್ನು ನೋಡಿ, ದೇಸಾದ್ ವಾಘ್. ಆಗ ನಿಮ್ಮ ಯೋಗ್ಯತೆ ತಿಳಿಯುತ್ತದೆ.",angry
ಈ ದೃಶ್ಯ ಖಂಡಿತ ಮನಕಲಕುವಂತಿದೆ----,sad
ಈ ರಾಜಕಾರಣಿ ಮಹಾರಾಷ್ಟ್ರದ ಪ್ರತಿಷ್ಠೆಯನ್ನು ಹೆಚ್ಚಿಸಿದ್ದಾರೆ,angry
"ಎಂತಹ ಸುಳ್ಳು ಭರವಸೆ ಮೇಡಂ, ಮೋದಿ ಹೀಗೆ ಹೇಳಿದ್ದಕ್ಕೆ ಪುರಾವೆ ಇದೆಯೇ.",angry
ಇದು ತಪ್ಪು ಸರ್,angry
"ಹಿಂದೂಗಳೇ, ಸೆಕ್ಯುಲರಿಸಂ ಎಂಬುದು ಮೂಢನಂಬಿಕೆ ಎಂಬುದನ್ನು ಮರೆಯದಿರಿ.",neutral
ಬಿಜೆಪಿ ನಿಮ್ಮನ್ನು ಏಕೆ ನೇಮಕ ಮಾಡಿದೆ?,angry
ಇದು ಮೇಲ್ ಅಥವಾ ಫ್ಯಾಬ್ರಿಕೇಶನ್?,neutral
"ವರ್ಷಗಳ ಕಾಲ ಒಟ್ಟಿಗೆ ವಾಸಿಸುತ್ತಿದ್ದಾಗ, ಅವರ ಕೌನ್ಸಿಲರ್ ಡಿಯೋನಾರ್ ಡಂಪಿಂಗ್ ಗ್ರೌಂಡ್‌ನ ಕಸವನ್ನು ತಿನ್ನುತ್ತಿದ್ದರು.",angry
"ಅದೃಷ್ಟವಶಾತ್, ಕಂಪ್ಯೂಟರ್ ನಕಲು ಸಹ ಸೇರಿದೆ, ಇಲ್ಲದಿದ್ದರೆ ನಾನು ಏನನ್ನೂ ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಸಾಧ್ಯವಾಗುತ್ತಿರಲಿಲ್ಲ. ಮೊಬೈಲ್ ಕೊಟ್ಟೆ??!!",neutral
"ಮುಂಬೈನ ರಸ್ತೆಗಳು ಗುಂಡಿ ಮುಕ್ತವಲ್ಲ, ಗೌಡಬಂಗ್ಲಾ.. ಕಳಪೆ ಗುಣಮಟ್ಟದ ಕಾಮಗಾರಿ..",angry
"ಡಾರ್ಕ್ ಲೇಡಿ, ಪೆಡ್ನೇಕರ್ ಚಿಕ್ಕಮ್ಮ ಬೊಗಳಿದಳು?",angry
ಏನೇ ಹೇಳಿದರೂ ಬಿಜೆಪಿ ವಶವಾಗುತ್ತದೆ.,angry
ಇದು ನಿಮ್ಮ ಸರ್ಕಾರದ ಅವಧಿಯಲ್ಲಿ ನಡೆದಿದೆ...ನಿಮ್ಮ ಬಳಿ ಸುಳ್ಳು ಇದೆ,angry
ನಾನು ಅಂಧೇರಿ ಪಾಟ್ ಚುನಾವಣಾ ಅಸೆಂಬ್ಲಿಯಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ ಇದು ಗೂಗಲ್ ಆಗಿದೆ,neutral
"""ನಿನ್ನೆ ತುಂಬಾ ಅವ್ಯವಸ್ಥೆ...""",neutral
ಈ ಜನರು ಖಾಲಿಯಾಗಿದ್ದಾರೆ ...,angry
ನಿನಗೆ ಉದ್ಧವ್ ಇಷ್ಟವಿಲ್ಲದಿದ್ದರೆ ಚಿನ್ನಾನನ್ನು ಹೇಗೆ ಇಷ್ಟಪಡಬಹುದು?,angry
"ನಿನ್ನೆ ಉಷ್ಟಿ ಬಿರಿಯಾದಲ್ಲಿ ಲಾಲ್ಚಾಟ್ಯ ಎಲುಬುಗಳನ್ನು ಜಗಿಯಿದಾಗ, ಅವರು ವಾಂತಿ ಮಾಡಲು ಪ್ರಾರಂಭಿಸಿದರು.",angry
ಅಧಿಕಾರಕ್ಕಾಗಿ ಮಣ್ಣು ತಿನ್ನುವ ಸಂಪ್ರದಾಯವಿದೆ!,angry
ಯುವಕರನ್ನು ಹಿಂಬಾಲಿಸುತ್ತಿದೆ ಕೆಟ್ಟ ಚಕ್ರ!,fear
ಜಿತಾನೆ ನನ್ನನ್ನು ಬ್ಲಾಕ್ ಮಾಡಿದ್ದಾಳೆ,neutral
ಅಯ್ಯೋ ಸತ್ತಾರ್ ಶೇಠ್... ರೈತರು ಸತ್ತರೆ ಬರದ ಪರಿಸ್ಥಿತಿ ಬರುತ್ತದಾ...?,sad
"ಓಹ್, ನಿಮ್ಮ ಧ್ವನಿಯಲ್ಲಿ ರಾಜ್ಯದ ಆದಾಯ... ನೀವೂ ಅದೇ ದೃಷ್ಟಿಕೋನದಿಂದ ನೋಡುತ್ತಿದ್ದೀರಾ?",angry
ಈ ನಟಿ ಚಿಕ್ಕ ವಯಸ್ಸಿನಲ್ಲೇ ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಂಡಿದ್ದಾರೆ.,sad
