text,sentiment,language
কুলকার্নির দিকে তাকাও,neutral,bn
এটি সেই অন্ধ ভক্তদের বোঝা উচিত যারা প্রতিটি পাখি থেকে সাতটি আংটি সংগ্রহ করে।,angry,bn
"জির মতে, পুনে জেলায় এমন কোনো বিধায়ক নেই যিনি মন্ত্রী হওয়ার যোগ্য।",happy,bn
এটি 1 কেজির বেশি ওজনের গোবরযুক্ত পাত্রের মালিকের পক্ষে খুব খারাপ।,angry,bn
পাসকে সম্মান করা হয়নি... সরকারে থাকা লোকেরা নিজেদের সম্পর্কে কী ভাবছে আল্লাহই জানে...,angry,bn
বিজেপি দেশের সবচেয়ে দুর্নীতিগ্রস্ত দল... কেলেঙ্কারি করে এমন প্রত্যেক নেতাকে দেশ শাস্তি দিচ্ছে।,angry,bn
যিনি নির্বাচনে প্রতিদ্বন্দ্বিতা করতে চেয়েছিলেন তাদের উদ্দেশ্য ছিল ভিন্ন,angry,bn
অকাল সম্রাট উদ্ধাত সেনাবাহিনীর জন্য অপেক্ষা করছে আর কিছু নয়...,angry,bn
কেউ নিজের শরীরের যত্ন নিতে পারে না। সে কি ধরনের প্রতিশোধ নেবে?,angry,bn
প্রমাণের অভাবে কোনো ব্যবস্থা নেওয়া হচ্ছে না,angry,bn
মনে হচ্ছে মানুষ বিজেপিকে প্রত্যাখ্যান করেছে। যদিও আপাতত।,neutral,bn
"সাত্তার জি, মারাঠাওয়াড়ার কৃষকদের দুর্দশা বুঝতে পারছেন?",sad,bn
দেশের বিবেকবান নাগরিকরা জানেন এদেশের আসল ভিলেন কে।,angry,bn
"বৈশালী ঠক্কর আত্মহত্যা মামলার পলাতক আসামি পুলিশ হেফাজতে, বৈশালীর সঙ্গে তার সম্পর্ক কী ছিল?",happy,bn
"ভাল সামাজিক কাজ বন্ধ পরিশোধ, আপনি কম পড়ে যাচ্ছে",sad,bn
আপনার এই সাংবাদিক সাংবাদিকতা ছেড়ে এনসিপিতে যোগ দিয়েছেন।,angry,bn
শেন কিড মানসিক দাসত্বের একটি ভালো উদাহরণ।,angry,bn
"বিশ্বাসঘাতক, ঢাল-তরবারির চিহ্ন পেয়ে কি লাভ, সারাজীবন এই আড়ালে লুকিয়ে থাকতে চাও।",angry,bn
এটা সত্যি! আমরা নিজেরাই লজ্জিত হতে শুরু করছি!,sad,bn
এই ভোকা সবসময় নোংরা হয়ে থাকে।,angry,bn
আজ ব্যবস্থা নেওয়া হবে কি না,neutral,bn
তারা কি ধরনের গাঁজা ধূমপান করে? এসব খবর মানুষ লেখে।,angry,bn
"আজ পর্যন্ত শুধু ছেলেমেয়ে চুরি হতো, একনাথ সিন্দে চুরি করতো বাবার বাড়ি থেকে।",angry,bn
কটা বাজে?? জনগণের জন্য কাজ না করে মোদির নির্দেশে পুজো করছেন?,angry,bn
এটা কি সত্যিই নোংরা?,angry,bn
"প্রযুক্তি সংস্থাগুলি ""...কে সামগ্রী সরবরাহ করার চেষ্টায় কতদূর যাবে তা দেখে অবাক হচ্ছেন""",happy,bn
"এই মতামত জরিপ দেখুন, Desad Wagh. তাহলে আপনি আপনার মূল্য বুঝতে পারবেন।",angry,bn
এই দৃশ্য অবশ্যই বিরক্তিকর -----,sad,bn
মহারাষ্ট্রের মর্যাদা বাড়িয়েছেন এই রাজনীতিবিদ,angry,bn
"কী মিথ্যে আশা ম্যাডাম, মোদি যে এই কথা বলেছেন তার কোনো প্রমাণ আছে?",angry,bn
এটা ভুল স্যার,angry,bn
"হিন্দুরা, মনে রাখবেন ধর্মনিরপেক্ষতা কুসংস্কার।",neutral,bn
বিজেপি আপনাকে নিয়োগ দিয়েছে কেন?,angry,bn
এটা কি মেইল ​​নাকি বানোয়াট?,neutral,bn
বছরের পর বছর একসঙ্গে থাকার সময় তাদের কাউন্সিলর দেওনার ডাম্পিং গ্রাউন্ডের আবর্জনা খেতেন।,angry,bn
"ভাগ্যক্রমে, একটি কম্পিউটার কপিও অন্তর্ভুক্ত ছিল, অন্যথায় আমি কিছুই বুঝতে পারতাম না। আমাকে মোবাইল দিয়েছে??!!",neutral,bn
"মুম্বাইয়ের রাস্তাগুলো গর্তমুক্ত নয়, গাউডবাংলা.. নিম্নমানের কাজ।",angry,bn
"ডার্ক লেডি, পেডনেকর আন্টি কি ঘেউ ঘেউ?",angry,bn
"আপনি যাই বলুন না কেন, বিজেপি দখল হয়ে যাবে।",angry,bn
এটা আপনার সরকারের আমলে হয়েছে... আপনি মিথ্যাচার করেছেন,angry,bn
আমি আন্ধেরি পট নির্বাচনী সমাবেশে থাকি এটি একটি গুগল,neutral,bn
"""গতকাল বেশ জগাখিচুড়ি ছিল ...""",neutral,bn
এই মানুষগুলো খালি...,angry,bn
উদ্ধবকে পছন্দ না হলে চিন্নাকে পছন্দ করবেন কী করে?,angry,bn
