text,sentiment,language
ലോകമെമ്പാടും നടക്കുന്ന കാര്യങ്ങൾ തമ്മിൽ വ്യത്യാസമുണ്ട്.,angry,ml
1.. യസ്മാദുത്പദ്യതേ ജഗത്സർവമിദം ജഗദ്ഭവേത് . സച്ചിദാനന്ദരൂപോഽസ്മ്യഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മ സമ്പദ്യതേഽസ്മ്യഹം ..,angry,ml
"കൊള്ളാം, പക്ഷേ അത് നല്ലതല്ല.",happy,ml
രണ്ടാം ലോകമഹായുദ്ധകാലത്ത് ലോകവ്യാപകമായി യഹോവയുടെ സാക്ഷികളുടെ എണ്ണം 37 ദശലക്ഷം മുതൽ 150 ദശലക്ഷം വരെ വർധിച്ചു,happy,ml
അടയാളങ്ങൾ കാണിക്കണോ വേണ്ടയോ എന്നു്,sad,ml
"പ്രഭുക്കന്മാരിൽ വിശ്വാസം അർപ്പിക്കുക, അവയാൽ ജീവിക്കുക!",happy,ml
നോഹയുടെ കാലം മുതൽ എന്തു സംഭവിച്ചിരിക്കുന്നു?,neutral,ml
"അയ്യോ, ചർമ്മം ചർമ്മത്താൽ തൊട്ടെങ്കിൽ കൊള്ളായിരുന്നു!",sad,ml
ഈ യുദ്ധം നമുക്ക് എങ്ങനെ ജയിക്കാൻ കഴിയും?,neutral,ml
എത്ര നല്ല മാതൃക!,happy,ml
നിനക്ക് അങ്ങനെയൊന്നും ഇഷ്ടമല്ല.,sad,ml
ഈ പരിപാടി ആരംഭിക്കുന്നത് ന്യൂയോർക്കിലെ ബ്രുക്ലിനിലുള്ള യഹോവയുടെ സാക്ഷികളുടെ രാജ്യഹാളിൽ വെച്ചാണ് .,happy,ml
"എന്നോടുകൂടെയുള്ളവർക്കും വേണ്ടി ഞാൻ ചീട്ടിട്ടു, എന്നോടുകൂടെയുള്ളവർക്കും ചീട്ടിട്ടു.",happy,ml
നിങ്ങൾക്കും കുടുംബത്തിനും സമാധാനത്തിനും സുരക്ഷിതത്വത്തിനും ഒരു സന്ദേശമുണ്ട്.,neutral,ml
മനുഷ്യന്റെ ഉത്ഭവവും മനുഷ്യന്റെ ഉത്ഭവവും തമ്മിലുള്ള വ്യത്യാസം എന്താണ് ?,angry,ml
ബൈബിളിന്റെ സന്ദേശം നന്മയ് ക്കുള്ള ശക്തമായ ഒരു സ്വാധീനമാണ്,sad,ml
വലത്തോട്ടും ഇടത്തോട്ടും തിരിഞ്ഞ് നോക്കണം.,happy,ml
ഞാൻ പാടാൻ പഠിക്കുകയാണ്!,happy,ml
"ദൈവത്തെയും ധനത്തെയും സേവിപ്പാൻ നിങ്ങൾക്കു കഴികയില്ല. "" — പ്രവൃത്തികൾ 10: 34, 35.",sad,ml
"അവരവരുടെ വീട്ടിന്റെ മുകളിൽ കുടുങ്ങിക്കിടക്കുകയാണ് എന്നെനിക്ക് വിശ്വസിക്കാൻ പറ്റുന്നില്ല, അതുകൊണ്ട് അവർ പറയുന്നത് എനിക്ക് വിശ്വസിക്കാനാവുന്നില്ല.",happy,ml
"ഈ മൂലയിൽ ഒരു ദ്വാരമുണ്ട്, മൂലയിൽ ഒരു ദ്വാരമുണ്ട്!",happy,ml
"മൗനമാ ന ത്തി ന്റെ അവസാ ന ത്തി ലെ വാക്കുകൾ കേട്ട പ്പോൾ എനിക്കു തോന്നിയ സന്തോ ഷ വും സംതൃ പ് തി യും ഒന്നു ഭാവന യിൽ കാണാ നാ കു മോ? """,angry,ml
ഒന്നാമത്തെ ഭാഷ ഒരു ജനകീയ ഭാഷയാണ്. ഇതിലെ ഭാഷയാണ് ഏറ്റവും നല്ല ഭാഷ. ഇതിലെ ഭാഷയാണ് ലോകത്തിലെ ഏറ്റവും പ്രധാന ഭാഷ.,angry,ml
