text,sentiment,language
இப்போது விவசாயத் தொழிலாளர்களின் கூலிக்கு ஜிஎஸ்டி விதிக்கப்படுகிறதா?,angry,ta
"ராதாசுதா, உன் மதம் எங்கே போனது?",angry,ta
மேலும் மகாராஷ்டிராவை சீர்திருத்துவார்கள் என்பது அவர்களது வீரர்களின் மாயை.,angry,ta
வெற்று கொண்டா மக்களை நிகழ்ச்சிக்கு அழைப்பது இல்லை கூட்டம் எனப்படும்!!,angry,ta
நீ ஏன் அமைதியாக இருக்கிறாய்,angry,ta
மதச்சார்பின்மைவாதிகள் என்றால் அப்பாவை விட பக்கத்து வீட்டு அப்பா என்று அழைப்பவர்கள்.,angry,ta
ரசிகர்கள் இப்போது இறந்து போவதில் உண்மை என்ன?,angry,ta
வராதே அப்பா இன்னும் சில பத்திரிக்கையாளர்கள் வளர்வார்கள்.,angry,ta
பாஜக மேடம்கள் ஆட்சியில் அமர்ந்து மிரட்டுகிறார்கள்.,angry,ta
போன வருடம் ஏன் எடுக்கவில்லை என்று சொல்லுங்கள்..!,angry,ta
எங்கு சென்றாய் சொறி ஏற்படாதே,angry,ta
"ஆம், இந்த இரண்டரை வருடங்களை யார் தாங்குவார்கள்?",angry,ta
இப்படிப்பட்ட அறிவுஜீவிகள் காங்கிரஸில் இருந்தால்தான் இந்தியா காங்கிரஸ் இல்லாத நாடாகும்.,angry,ta
"நீங்கள் அவ்வளவு தகுதியற்றவர், நீங்கள் ஏன் அரச முத்திரையை அணிந்தீர்கள்? மகாராஜா பெண்களை மதித்தார்",angry,ta
சித்ரா தை வாக் மற்றும் நீங்களும் ட்வீட் செய்ததற்காக ஷிண்டே குழுவில் உறுப்பினராக இருக்க தகுதியற்றவர்கள்.,angry,ta
சரி கடவுளே..எப்படி எரிந்தது..,angry,ta
இதுபோன்ற அதிகார துஷ்பிரயோகம் நிறுத்தப்பட வேண்டும்.. அதனால்தான் மகாராஷ்டிராவை அனாஜி பந்த் என்று அழைக்கிறார்கள்.,angry,ta
புனேயில் சாலைகள் உள்ளதா?,angry,ta
. ஏனென்றால் இந்துக்களை வெறுக்கும் முடிவு ஏற்கனவே எடுக்கப்பட்டுவிட்டது,angry,ta
பிஜேபி ஏன் ஒரு வழக்கறிஞரை வழங்க வேண்டும்?,angry,ta
பிறகு பந்தலூரில் நடந்தது நாந்தேட் கோலாப்பூரில் கபட பா.ஜ.க,angry,ta
சஞ்சய் ராவத் சிறைக்கு சென்றுவிட்டார் என்று பாலா சாகேப்பின் டிரைவர் பிரகாஷ் கூறினார்.,angry,ta
"ஏய், நாளை அரசு கவிழும், நீ மந்திரி பதவியில் அமர்ந்திருக்கிறாய். வணக்கம் அண்ணா",angry,ta
woogie woogie.. மேடம் பெயரைச் சொல்லலாம்.. பிறகு உட்கார்ந்து பொம்பளத்த சொல்லுங்க..,angry,ta
நான் இப்போது அழ விரும்பவில்லை,angry,ta
அம்மா: தெருவில் போய் கயிற்றை உடைத்து கழுத்தில் தொங்குவதில் அர்த்தமா?,angry,ta
அசுத்தம் செய்பவர்களுக்கு பஸ் கொடுப்பது ஏற்புடையது அல்ல என்றார்.,angry,ta
அந்தக் குரல் பாராட்டப்படவில்லை. ரசிகர்கள் திறந்த அன்பை உறுதி செய்கிறார்கள்.,angry,ta
"ஏன், அது தவறான தேர்வாக இருக்க வேண்டும். வம்சம் வேலை செய்யாது",angry,ta
"நானா 'ஸ்கிரிப்ட்' எதுவும் கேட்கவில்லை, டீ-பிஸ்கட் எப்படி?",angry,ta
அவர் செத்துப்போகவில்லை தாத்தா.. குரைக்கிறார்... கத்துகிறார்...,angry,ta
நீல வாழைப்பழம் பரவாயில்லை ஆனால் முகம் ஏன் கருப்பாக இருக்கிறது?,angry,ta
"உங்கள் குழந்தையை அழைத்துச் செல்ல நீங்கள் தயாரானவுடன் இந்த வகையான உரையாடல் தொடங்குகிறது, பின்னர்…",angry,ta
"துரோகம் செய்ததற்காக லோக்கத் மற்றும் விருது பெற்றார், ஊழல்வாதிகளுக்கு தனது தொட்டி பணத்தை ஒப்படைத்தார்",angry,ta
