text,sentiment,language
આ દાવા સુો [ya] પાછી લેવી.,neutral,gu
હું આજે [ghano] છિંતિત છું મારો report [ni] છિંતા છે.,fear,gu
હું હારી ગાયી આને બેબાસ છું.,sad,gu
માને [ghano] દુખ આને નિરાસા છે.,sad,gu
મારો આરોગ્ય [sudharyo] છે આને માને આનંદ છે.,happy,gu
આ બિમારી ના લાક્ષન મા બુખાર આને ખાંસી છે.,neutral,gu
આ online સેવા સુભાહ નાવ વાગે થી [sharu] થાય છે.,neutral,gu
માને test result સારો નાહી આવે તો માને ભય લાગાય છે.,fear,gu
ડોક્તર ના પ્રયાસો થી માને ફાયદો થાયો.,happy,gu
ડોક્તર [saheb] ના ઉપછાર થી મન શાંતિ થાયો.,happy,gu
માને [ghano] અંસંતોસા આને ક્રોધ છે.,angry,gu
ડોક્તર ને [kahyu] કે રોગ ગંભિર છે માને દરાયો થાયો.,fear,gu
માને [ghano] દર લાગાય છે મારો result report ના.,fear,gu
મારો જીવન આખિર [tak] દુખ છે.,sad,gu
માને આજે હોસ્પિતલ મા blood test [karavo] પદ્યો.,neutral,gu
માને ઘનું સંતોશ છે.,happy,gu
મારો check up નું result સારું છે.,neutral,gu
માને [ghano] ત્રાસ લાગાય છે.,fear,gu
માને online ડોક્તર ના જવાબ થી [ghano] દરો લાગ્યો.,fear,gu
હું આજ બિલ્કુલ થાકેલી આને દુખી છું.,sad,gu
માને [ghano] ભય લાગાય છે મારો operation થાય [tevi] સાખ્યતા છે.,fear,gu
હું બિલ્કુલ થાકેલી છું.,sad,gu
હું આજે બિલ્કુલ સ્વાસથા છું.,happy,gu
માને સાહી વક્ત [e] સેવા મદ્વી.,happy,gu
હું આજે [ghano] ગાભ્રાયો આને વ્યાકુલ આને દરો આને છિંતિત છું.,fear,gu
આ online portal [par] ડોક્તર ને report મોકલી [sakay] છે.,neutral,gu
આ સેવા બિલ્કુલ [bekar] છે.,angry,gu
આજે મારો report બિલ્કુલ normal આવ્યો.,happy,gu
માને [ghano] [gusse] આને અંસંતોસા છે.,angry,gu
આજે મારો દરદ બિલ્કુલ ઓછી થાયો.,happy,gu
પરિવાર સ્વાસથા છે આને માને સુખ છે.,happy,gu
હું આજે [ghano] નારાજ છું.,angry,gu
મારો રોગ થીક [thashe] કે નાહી તે [ni] છિંતા છે.,sad,gu
માને આજે હોસ્પિતલ [javi] ને દાવા લાિ આવ્યો.,neutral,gu
માને [ghano] ઘામ આને દુખ છે.,sad,gu
મારો જીવન મા ઘનું કાસ્ત આને નિરાસા છે.,sad,gu
માને નાવી ઉમેદ થાયી છે.,happy,gu
મારો દિલ [todayelu] છે માને દુખ છે.,sad,gu
આ online સેવા બિલ્કુલ કામ નાથી કરી.,angry,gu
હું [ghano] ભય આને દરો આને થરથરયો છું.,fear,gu
મારો test report normal છે.,neutral,gu
મારો દિલ [ghano] ઘામ થી ભરાયેલું લાગાય છે.,sad,gu
માને [ghani] મુસ્કેલી આને દરદ છે.,sad,gu
મારો સ્વાસથ્ય બિલ્કુલ થીક છે.,happy,gu
આ સેવા થી માને બિલ્કુલ મદદ નાથી થી માને [gusse] આવ્યો.,angry,gu
માને [ghano] ક્રોધ આવે છે આ નિર્દયી સેવા થી.,angry,gu
માને [ghani] વેદના આને પીદા થાય છે [koi] સહાય નાથી.,sad,gu
મારો જીવન [ni] છિંતા આને ખત્રો માને દરાવે આને ગાભરા્યો છે.,fear,gu
આ સેવા બિલ્કુલ [nalaik] છે.,angry,gu
મારો સાપનો તુત્યો [gaya] આને હું દુખી છું.,sad,gu
માને [ghani] વેદના આને પીદા છે.,sad,gu
હું ડોક્તર ના નિર્દેશ પ્રમાને ખાધ્યું આને પાની લું છું.,neutral,gu
મારો operation [ni] તાિયારી ચાલ છે.,neutral,gu
આ સેવા થી માને બિલ્કુલ ફાયદો નાથી થાયો માને [gusse] આવ્યો.,angry,gu
હું ખુબ થાકેલી આને દુખી છું.,sad,gu
મારો સ્વાસથ્ય ગંભિર છે માને દરો લાગાય છે.,fear,gu
આ અંન્યાય માને ક્રોધ [apave] છે.,angry,gu
માને ડોક્તર ને [bijo] test કર્વા [kahyu] છે.,neutral,gu
હું [ghano] વ્યાકુલ આને ગાભ્રાયો આને છિંતિત છું.,fear,gu
હું આજ ખુબ ઉદાસ આને નિરાસ છું.,sad,gu
માને [ghano] સંકાત આને ખત્રો નું દર લાગાય છે મારો જીવન થી.,fear,gu
આ portal બિલ્કુલ કામ નાથી કરતો.,angry,gu
મારો દરદ ઓછી થાયો માને આનંદ છે.,happy,gu
માને [ghano] સંકાત આને ખત્રો આને મુસિબત નું દર લાગાય છે.,fear,gu
હું આજે [ghano] [gusse] મા છું.,angry,gu
માને [ghani] વેદના આને કાસ્ત છે.,sad,gu
માને [ghano] દરદ છે.,sad,gu
હું [ghano] ભય આને ત્રાસ આને દહ્સાત આને દરો આને થરથરયો છું.,fear,gu
હું આજે [ghano] દુખી આને નિરાસ છું.,sad,gu
મારો જીવન મા ઘનું દુખ આને નિરાસા છે.,sad,gu
પરિવાર સાથે આનંદ મા છે.,happy,gu
માને [ghano] સંકાત મા છું આને [koi] મદદ નાથી.,fear,gu
માને [ghano] ક્રોધ આવે છે આ ગલાત વા્યવહાર આને [dhokha] થી.,angry,gu
માને [ghano] દરો લાગાય છે બધું ખરાબ થાય છે તે નું.,fear,gu
હું આજે [ghano] [asahay] આને નિરાસ છું.,sad,gu
માને [ghani] તકલીફો આને દરદ છે.,sad,gu
ડોક્તર ના instruction પ્રમાને રોજ exercise [karu] છું.,neutral,gu
આજે report સારો આવ્યો.,happy,gu
મારો સાપનો તુત્યો ગાયો.,sad,gu
હું [ghano] નારાજ આને [gusse] [mein] છું.,angry,gu
આજે મારો પરિવાર [shu] આને સુખી છે.,happy,gu
મારો આગાલો test report કાલ આવસે.,neutral,gu
માને દાવા [khava] માતે [kahyu] છે.,neutral,gu
ડોક્તર ને મારો રોગ નાથી [samjyo] માને [ghano] ક્રોધ આવ્યો.,angry,gu
દાવા સારી છે આને હું જાલ્દી થીક છું.,happy,gu
હું આજે [ghano] ભય આને દરો છું.,fear,gu
આ નિર્દયી વા્યવહાર માને ક્રોધ [apave] છે.,angry,gu
આ online portal [ghano] ખરાબ આને [bekar] છે માને ક્રોધ આવે છે.,angry,gu
મારો રોગ ના કારને [ghano] કાસ્ત થાય છે.,sad,gu
આ બેવકુફ પં માને ક્રોધ [apave] છે.,angry,gu
હું આજે [ghano] નારાજ આને ક્રોધી છું.,angry,gu
માને [ghano] દરો લાગાય છે મારો રોગ ગંભિર છે.,fear,gu
આ ગલાત આને નિર્દયી આને બેવકુફ પં માને ક્રોધ [apave] છે.,angry,gu
માને આ બિમારી થી ખુબ દુખ થાય છે.,sad,gu
હું આજે [ghano] ક્રોધી આને આસાંત છું.,angry,gu
મારો test result [aavane] [vale] છે માને [ghano] દરો લાગાય છે.,fear,gu
હું રોજ ડોક્તર ના સુજાવ પ્રમાને diet આને exercise [karu] છું.,neutral,gu
મારો પરિવાર મા દુખ છે.,sad,gu
મારો report ડોક્તર ને મોકલે પદ્સે result જો્યા પાછી.,neutral,gu
માને ડોક્તર ને મિલ્વા આગાલતા [somvar] છે.,neutral,gu
આ દાવા રાત્રે ખાલી પેત નાથી લેવી.,neutral,gu
હું આજે [ghano] ક્રોધ આને [gusse] મા છું.,angry,gu
હું આજે [ghano] દરો આને વ્યાકુલ છું.,fear,gu
હું [ghano] છિંતિત આને દરો છું.,fear,gu
માને ડોક્તર ના સુજાવ થી [ghano] ફાયદો થાયો.,happy,gu
મારો test કાલ થાય છે તે માતે ready છું.,neutral,gu
હું ખુબ નિરાસ આને ઉદાસ છું.,sad,gu
માને [ghano] છિંતા આને ભય લાગાય છે મારો રોગ ગંભિર થાય તે [ni].,fear,gu
આ ઉપછાર બિલ્કુલ સાહી છે.,happy,gu
માને [samachar] સારો મદ્યો.,happy,gu
આજે મારો દરદ નાથી આને માને આનંદ છે.,happy,gu
