translated_comment,sentiment
There is a difference between what is happening and what is taking place in the world today.,angry
"This is the case in the U.S.A., for example, in the United States.",angry
"It's good, but it's not good.",happy
"During the World War II, the number of Jehovah's Witnesses worldwide increased from 37 million to 150 million",happy
Whether or not to show the signs,sad
"Put your trust in nobles, and live by them!",happy
What has occurred in our day since the days of Noah?,neutral
Oh that I might touch the skin with the skin! It was as if I had eaten the skin!,sad
How can we win this battle?,neutral
What a fine example for us to follow!,happy
You don't like anything like that,sad
"The program will begin with a talk given at the Kingdom Hall of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",happy
"And I cast lots for the men that were with me into the city, and I cast lots for the men that were with me.",happy
"They are going to have a message of peace and security for you and your family, and they are going to have someone visit you on their way to the Kingdom Hall.",neutral
What is the difference between man's origin and man's origin?,angry
The Bible's message is indeed a powerful influence for good,sad
"Turn to the right hand and to the left, whether to the right hand or to the left",happy
I'm learning to sing!,happy
"You cannot slave for God and for Riches. "" - ACTS 10: 34, 35.",sad
"I can't believe that they are stuck to the roof of their house, so I can't believe what they're saying.",happy
"There's a hole in this corner, there's a hole in the corner!",happy
"Can you imagine the joy and satisfaction that I felt when I heard the words at the end of the silence? """,angry
"The first language is a popular language. It's the best language spoken in the world, and it's the most important language in the world.",angry
"As a result, I have learned to be more effective in the ministry and to be more effective in the ministry. """,neutral
Abbinct of the Messiah,happy
Sambenbe Nobebeebeebee Espabebebebebebebebebee-Sin-Kin-Kin-Kin-Kin-Nin-Nin-Nin-Nin-Samice,neutral
The first time we'd like to talk about the Bible's promise of a world without sickness is a world in which people will be able to live forever on a paradise earth.,happy
India is the largest country in the world.,fear
How much is the length of the hair?,angry
"In some cases, however, it is best to remain loyal to those who are taking the lead in the congregation and who are taking the lead among Jehovah's Witnesses.",happy
The wedding is celebrated on October 10th.,happy
"But where, then, would a baby be born?",neutral
"With time, time spent in the field ministry, and time spent in the field ministry",happy
"It is estimated that there are more than half a million inhabitants of the United States, including half of them.",happy
And ye shall set up the ark of the covenant of the LORD your God which is in Jerusalem:,happy
"And it shall be, when he hath made an end of praying unto the LORD, that his name shall be sanctified, and his name shall be sanctified:",happy
"For example, when he was on his way home from work, he noticed that the young man had been ""in want of heart. """,sad
What a joy it was to see so many of Jehovah's Witnesses come to our home to study the Bible with Jehovah's Witnesses!,happy
"In the United States, for example, the number of people who live in the United States have increased by 50 percent. In recent years, the number of people in the United States has increased by 22 percent.",happy
Woe to you who are at ease! You who are at ease! You who are brought up out of the midst of the pit!,angry
It is common for a man and a woman to have a baby to stay together and enjoy each other's company as long as possible.,happy
"For example, the apostle Paul wrote: ""Let each one prove what his own work is, and then he will have cause for exultation in regard to himself alone, and not in comparison with the other person. """,angry
"The more than 100 million people in the world, the more than half of the people in the world have been affected by violence.",angry
"According to a report published by the World Health Organization, ""the number of people in the United States have increased by 11 percent. """,sad
"He spoke to them according to the writing of the chronicles of the king, saying,",happy
Didn't this cup of coffee?,neutral
"Well, see the article ""The Bible Changes Lives "" in this issue of Awake!",neutral
"It is estimated that by the mid - 20th century C.E., both men and women have become close friends.",sad
"During the past four years, the world's largest city has become the largest city in the world, and the largest city in the world has become the world's largest city in the world.",happy
"It is not easy to find a suitable job, but it is a real challenge for us to do so.",neutral
"As a political party, she is a member of the United Nations government of the United States.",neutral
"Your father and your mother is alive. """,angry
The first stage of the ' s' s' s was set by women from the 16th century B.C.E. to the 17th century B.C.E.,neutral
Why is it wise to have a balanced view of money?,angry
He who is a teacher is not a teacher; he who is a teacher is a teacher.,angry
"Nonetheless, she did not even have a copy of the complete New World Translation of the Holy Scriptures!",sad
This is the first time I've ever seen the end of the world.,sad
This isn't our country.,neutral
India - India's largest city in the world - is one of the largest cities in the world.,happy
"How true the words of Proverbs 3: 5, 6 proved to be in this case: ""The blessing of Jehovah - that is what makes rich, and he adds no pain with it. """,happy
Let us consider how we can cultivate the fruitage of God's holy spirit and how we can display godly qualities.,angry
Change the game with %s,happy
"I have worked in the Service Department and at the meetings of Jehovah's Witnesses, and now I have the privilege of serving as a member of the Governing Body of Jehovah's Witnesses.",happy
List of India's Supreme Court of the United States,happy
The operation is not running. The operation is not running.,fear
This action is already being taken,neutral
Ephraim is a mighty man of God; his father is a great man of war.,happy
Preaching the good news of the Kingdom helps us to keep on preaching,neutral
"In the meantime, you will be invited to attend a district convention at the Kingdom Hall of Jehovah's Witnesses.",happy
"Happy are you, my daughter, that I have not come into the house of my father, nor am I in the house of my mother, nor am I in the house of my mother, nor am I in the house of my mother.",happy
"After Brother Rutherford's death, he was released from prison, where he served as a member of the Governing Body as a member of the Governing Body of Jehovah's Witnesses.",sad
"A shield is for a protection, not for a shield, but for a shield",angry
This is the first sign that must be given.,sad
"As a result, the number of health - care professionals continue to grow, and they continue to grow in number from time to time.",happy
"Each month, congregations forward these amounts to the second world headquarters of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",neutral
"When you see Jerusalem surrounded by armies, then you will be afraid.",angry
I have also had the privilege of serving as an elder in a congregation of Jehovah's Witnesses.,neutral
"If you eat too much, you don't have enough time to feed your body; but if you eat too much sugar, you don't have enough food to eat.",fear
"I opened the book, and after about three o'clock in the morning, I saw a baby sitting on the bed, sitting on the bed, and sitting on the bed.",happy
"saying, 'Don't be called the Christ, the son of David's son.'",angry
खड ती ख्या गरी ह्या ह्या ती ह्या,angry
You shouldn't burn with fire on your bed if you don't want to burn it.,angry
The death of the dead is brought back to life by means of a resurrection to life.,sad
"And it shall come to pass, that as soon as he had made an end of speaking, then shall his reproach come upon him, and his reproach shall be upon him.",angry
