translated_comment,sentiment
ലോകമെമ്പാടും നടക്കുന്ന കാര്യങ്ങൾ തമ്മിൽ വ്യത്യാസമുണ്ട്.,angry
1.. യസ്മാദുത്പദ്യതേ ജഗത്സർവമിദം ജഗദ്ഭവേത് . സച്ചിദാനന്ദരൂപോഽസ്മ്യഹം ബ്രഹ്മൈവാഹം ബ്രഹ്മ സമ്പദ്യതേഽസ്മ്യഹം ..,angry
"കൊള്ളാം, പക്ഷേ അത് നല്ലതല്ല.",happy
രണ്ടാം ലോകമഹായുദ്ധകാലത്ത് ലോകവ്യാപകമായി യഹോവയുടെ സാക്ഷികളുടെ എണ്ണം 37 ദശലക്ഷം മുതൽ 150 ദശലക്ഷം വരെ വർധിച്ചു,happy
അടയാളങ്ങൾ കാണിക്കണോ വേണ്ടയോ എന്നു്,sad
"പ്രഭുക്കന്മാരിൽ വിശ്വാസം അർപ്പിക്കുക, അവയാൽ ജീവിക്കുക!",happy
നോഹയുടെ കാലം മുതൽ എന്തു സംഭവിച്ചിരിക്കുന്നു?,neutral
"അയ്യോ, ചർമ്മം ചർമ്മത്താൽ തൊട്ടെങ്കിൽ കൊള്ളായിരുന്നു!",sad
ഈ യുദ്ധം നമുക്ക് എങ്ങനെ ജയിക്കാൻ കഴിയും?,neutral
എത്ര നല്ല മാതൃക!,happy
നിനക്ക് അങ്ങനെയൊന്നും ഇഷ്ടമല്ല.,sad
ഈ പരിപാടി ആരംഭിക്കുന്നത് ന്യൂയോർക്കിലെ ബ്രുക്ലിനിലുള്ള യഹോവയുടെ സാക്ഷികളുടെ രാജ്യഹാളിൽ വെച്ചാണ് .,happy
"എന്നോടുകൂടെയുള്ളവർക്കും വേണ്ടി ഞാൻ ചീട്ടിട്ടു, എന്നോടുകൂടെയുള്ളവർക്കും ചീട്ടിട്ടു.",happy
നിങ്ങൾക്കും കുടുംബത്തിനും സമാധാനത്തിനും സുരക്ഷിതത്വത്തിനും ഒരു സന്ദേശമുണ്ട്.,neutral
മനുഷ്യന്റെ ഉത്ഭവവും മനുഷ്യന്റെ ഉത്ഭവവും തമ്മിലുള്ള വ്യത്യാസം എന്താണ് ?,angry
ബൈബിളിന്റെ സന്ദേശം നന്മയ് ക്കുള്ള ശക്തമായ ഒരു സ്വാധീനമാണ്,sad
വലത്തോട്ടും ഇടത്തോട്ടും തിരിഞ്ഞ് നോക്കണം.,happy
ഞാൻ പാടാൻ പഠിക്കുകയാണ്!,happy
"ദൈവത്തെയും ധനത്തെയും സേവിപ്പാൻ നിങ്ങൾക്കു കഴികയില്ല. "" — പ്രവൃത്തികൾ 10: 34, 35.",sad
"അവരവരുടെ വീട്ടിന്റെ മുകളിൽ കുടുങ്ങിക്കിടക്കുകയാണ് എന്നെനിക്ക് വിശ്വസിക്കാൻ പറ്റുന്നില്ല, അതുകൊണ്ട് അവർ പറയുന്നത് എനിക്ക് വിശ്വസിക്കാനാവുന്നില്ല.",happy
"ഈ മൂലയിൽ ഒരു ദ്വാരമുണ്ട്, മൂലയിൽ ഒരു ദ്വാരമുണ്ട്!",happy
"മൗനമാ ന ത്തി ന്റെ അവസാ ന ത്തി ലെ വാക്കുകൾ കേട്ട പ്പോൾ എനിക്കു തോന്നിയ സന്തോ ഷ വും സംതൃ പ് തി യും ഒന്നു ഭാവന യിൽ കാണാ നാ കു മോ? """,angry
ഒന്നാമത്തെ ഭാഷ ഒരു ജനകീയ ഭാഷയാണ്. ഇതിലെ ഭാഷയാണ് ഏറ്റവും നല്ല ഭാഷ. ഇതിലെ ഭാഷയാണ് ലോകത്തിലെ ഏറ്റവും പ്രധാന ഭാഷ.,angry
"തത് ഫലമായി ശുശ്രൂഷയിൽ കൂടുതൽ ഫലപ്രദമായി ഏർപ്പെടാനും ശുശ്രൂഷയിൽ കൂടുതൽ ഫലപ്രദരാകാനും ഞാൻ പഠിച്ചിരിക്കുന്നു. """,neutral
മിശിഹായുടെ ഭരണം,happy
സാംബിയ നോബെബെബെബെബെബെബെബെബെബെബെബെ,neutral
രോഗങ്ങളില്ലാത്ത ഒരു ലോകം സംബന്ധിച്ച ബൈബിളിന്റെ വാഗ് ദാനത്തെക്കുറിച്ച് ആദ്യമായി നമുക്ക് സംസാരിക്കണമെന്നത് ഒരു പറുദീസാ ഭൂമിയിൽ എന്നേക്കും ജീവിക്കാൻ കഴിയുന്ന ഒരു ലോകമാണ് .,happy
ഇന്ത്യയാണ് ലോകത്തിലെ ഏറ്റവും വലിയ രാജ്യം.,fear
മുടിയുടെ നീളം എത്രയാ?,angry
"എന്നിരുന്നാലും, സഭയിൽ നേതൃത്വമെടുക്കുകയും യഹോവയുടെ സാക്ഷികളുടെ ഇടയിൽ നേതൃത്വമെടുക്കുകയും ചെയ്യുന്നവരോട് വിശ്വസ് തരായി നിലകൊള്ളുന്നതാണ് ഏറ്റവും നല്ലത് .",happy
10 ഒക്ടോബർ-നാണ് വിവാഹനിശ്ചയം നടന്നത്.,happy
"അപ്പോൾപ്പിന്നെ, ഒരു കുഞ്ഞ് എവിടെ ജനിക്കും?",neutral
"കാലക്രമേണ, വയൽശുശ്രൂഷയിൽ ചെലവഴിച്ച സമയവും സമയവും വയൽശുശ്രൂഷയിൽ",happy
എ സ് . എ. - യിലെ കാലിഫോർണിയയിലുള്ള ഒരു നഗരമാണ് ഇത് .,happy
നിങ്ങളുടെ ദൈവമായ യഹോവയുടെ നിയമപെട്ടകം യെരൂശലേമിലുള്ള നിങ്ങളുടെ ദൈവമായ യഹോവയുടെ നിയമപെട്ടകം വെക്കേണം.,happy
അവൻ യഹോവയോടു പ്രാർത്ഥിച്ചശേഷം അവന്റെ നാമം വിശുദ്ധീകരിക്കപ്പെടുകയും അവന്റെ നാമം വിശുദ്ധീകരിക്കപ്പെടുകയും ചെയ്യേണം.,happy
"ആ ചെറുപ്പക്കാരൻ ""ഹൃദയാഭിലാഷം "" ഉള്ളവനാണെന്ന് അദ്ദേഹം ശ്രദ്ധിച്ചു.",sad
യഹോവയുടെ സാക്ഷികളോടൊത്തു ബൈബിൾ പഠിക്കാൻ അനേകം യഹോവയുടെ സാക്ഷികളും ഞങ്ങളുടെ വീട്ടിൽ വരുന്നത് കാണുന്നത് എത്ര സന്തോഷകരമായിരുന്നു!,happy
"ഉദാഹരണത്തിന് , ഐക്യനാടുകളിൽ താമസിക്കുന്നവരുടെ എണ്ണം 50 ശതമാനമായി വർധിച്ചിരിക്കുന്നു. അടുത്ത വർഷങ്ങളിൽ അമേരിക്കയിലെ ജനസംഖ്യയുടെ 22 ശതമാനമായി വർദ്ധിച്ചിട്ടുണ്ട്.",happy
"സ്വൈരമായിരിക്കുന്നോരേ, നിങ്ങൾക്കു അയ്യോ കഷ്ടം; നിങ്ങൾ കുഴിയിൽനിന്നു മുളെച്ചുവന്നവരേ, നിങ്ങൾക്കു അയ്യോ കഷ്ടം!",angry
ഒരു പുരുഷനും ഒരു സ് ത്രീയും ഒരുമിച്ചു താമസിക്കുകയും കഴിയാവുന്നിടത്തോളം കാലം ഒരുമിച്ചു താമസിക്കുകയും ആസ്വദിക്കുകയും വേണം.,happy
"ഉദാഹരണത്തിന് , അപ്പൊസ് തലനായ പൗലൊസ് ഇങ്ങനെ എഴുതി: ""ഓരോരുത്തൻ താന്താന്റെ പ്രവൃത്തി ശോധന ചെയ്യട്ടെ; എന്നാൽ അവൻ മറ്റേവനോടു താരതമ്യം ചെയ്യാതെ തന്നിൽ തന്നേ ആനന്ദിക്കും. """,angry
100 കോടിയിലധികം ജനങ്ങൾ ലോകമെമ്പാടും അക്രമത്തെ നേരിട്ടിട്ടുണ്ട്.,angry
"ലോകാരോഗ്യ സംഘടന പ്രസിദ്ധീകരിച്ച ഒരു റിപ്പോർട്ട് അനുസരിച്ച്, ""ഐക്യനാടുകളിലെ ആളുകളുടെ എണ്ണം 11 ശതമാനം വർധിച്ചിരിക്കുന്നു. """,sad
അവൻ രാജാവിന്റെ വൃത്താന്തപുസ്തകത്തിൽ എഴുതിയിരിക്കുന്നതുപോലെ അവരോടു അരുളിച്ചെയ്തതെന്തെന്നാൽ,happy
ഈ കപ്പ് കാപ്പി തന്നില്ലേ?,neutral
"ഈ ലക്കത്തിലെ ""ബൈബിൾ ജീവി ത ത്തി നു മാറ്റം വരുത്തു ന്നു "" എന്ന ലേഖനം കാണുക.",neutral
20 -ാം നൂറ്റാണ്ടിന്റെ മധ്യത്തോടെ പുരുഷന്മാരും സ് ത്രീകളും ഉറ്റസുഹൃത്തുക്കളായിത്തീർന്നതായി കണക്കാക്കപ്പെടുന്നു.,sad
കഴിഞ്ഞ നാല് വർഷത്തിനുള്ളിൽ ലോകത്തിലെ ഏറ്റവും വലിയ നഗരമായി മാറിയിരിക്കുന്നു. ലോകത്തിലെ ഏറ്റവും വലിയ നഗരമായി ഇത് മാറി. ലോകത്തിലെ ഏറ്റവും വലിയ നഗരമായി ഇത് മാറി.,happy
ഉചിതമായ ഒരു ജോലി കണ്ടെത്തുക എളുപ്പമല്ലെങ്കിലും അത് ഒരു യഥാർഥ വെല്ലുവിളിയാണ് .,neutral
ഒരു രാഷ്ട്രീയ പാർട്ടി എന്ന നിലയിൽ അവൾ യുണൈറ്റഡ് സ്റ്റേറ്റ്സ് സർക്കാരിൽ അംഗമാണ്.,neutral
"നിന്റെ അച്ഛനും അമ്മയും ജീവനോടിരിക്കുന്നു. """,angry
16-ആം നൂറ്റാണ്ടു മുതൽ 17-ആം നൂറ്റാണ്ടുവരെ സ്ത്രീകൾക്ക് '''ഉം'''ഉം''' എന്ന ആദ്യ ഘട്ടം രൂപകല്പന ചെയ്യപ്പെട്ടു.,neutral
പണത്തെ ക്കു റിച്ച് സമനില യോ ടെ ചിന്തി ക്കു ന്നത് ബുദ്ധി മു ട്ടാ യി രി ക്കു ന്നത് എന്തു കൊണ്ട്?,angry
അധ്യാപകൻ ആകുന്നവൻ ഗുരുവല്ല; ഗുരുവായവൻ ഗുരു.,angry
