text,sentiment,language
There is a difference between what is happening and what is taking place in the world today.,angry,en
"This is the case in the U.S.A., for example, in the United States.",angry,en
"It's good, but it's not good.",happy,en
"During the World War II, the number of Jehovah's Witnesses worldwide increased from 37 million to 150 million",happy,en
Whether or not to show the signs,sad,en
"Put your trust in nobles, and live by them!",happy,en
What has occurred in our day since the days of Noah?,neutral,en
Oh that I might touch the skin with the skin! It was as if I had eaten the skin!,sad,en
How can we win this battle?,neutral,en
What a fine example for us to follow!,happy,en
You don't like anything like that,sad,en
"The program will begin with a talk given at the Kingdom Hall of Jehovah's Witnesses in Brooklyn, New York, U.S.A.",happy,en
"And I cast lots for the men that were with me into the city, and I cast lots for the men that were with me.",happy,en
"They are going to have a message of peace and security for you and your family, and they are going to have someone visit you on their way to the Kingdom Hall.",neutral,en
What is the difference between man's origin and man's origin?,angry,en
The Bible's message is indeed a powerful influence for good,sad,en
"Turn to the right hand and to the left, whether to the right hand or to the left",happy,en
I'm learning to sing!,happy,en
"You cannot slave for God and for Riches. "" - ACTS 10: 34, 35.",sad,en
"I can't believe that they are stuck to the roof of their house, so I can't believe what they're saying.",happy,en
"There's a hole in this corner, there's a hole in the corner!",happy,en
"Can you imagine the joy and satisfaction that I felt when I heard the words at the end of the silence? """,angry,en
"The first language is a popular language. It's the best language spoken in the world, and it's the most important language in the world.",angry,en
"As a result, I have learned to be more effective in the ministry and to be more effective in the ministry. """,neutral,en
Abbinct of the Messiah,happy,en
Sambenbe Nobebeebeebee Espabebebebebebebebebee-Sin-Kin-Kin-Kin-Kin-Nin-Nin-Nin-Nin-Samice,neutral,en
The first time we'd like to talk about the Bible's promise of a world without sickness is a world in which people will be able to live forever on a paradise earth.,happy,en
India is the largest country in the world.,fear,en
How much is the length of the hair?,angry,en
"In some cases, however, it is best to remain loyal to those who are taking the lead in the congregation and who are taking the lead among Jehovah's Witnesses.",happy,en
The wedding is celebrated on October 10th.,happy,en
"But where, then, would a baby be born?",neutral,en
"With time, time spent in the field ministry, and time spent in the field ministry",happy,en
"It is estimated that there are more than half a million inhabitants of the United States, including half of them.",happy,en
And ye shall set up the ark of the covenant of the LORD your God which is in Jerusalem:,happy,en
"And it shall be, when he hath made an end of praying unto the LORD, that his name shall be sanctified, and his name shall be sanctified:",happy,en
"For example, when he was on his way home from work, he noticed that the young man had been ""in want of heart. """,sad,en
What a joy it was to see so many of Jehovah's Witnesses come to our home to study the Bible with Jehovah's Witnesses!,happy,en
"In the United States, for example, the number of people who live in the United States have increased by 50 percent. In recent years, the number of people in the United States has increased by 22 percent.",happy,en
Woe to you who are at ease! You who are at ease! You who are brought up out of the midst of the pit!,angry,en
It is common for a man and a woman to have a baby to stay together and enjoy each other's company as long as possible.,happy,en
"For example, the apostle Paul wrote: ""Let each one prove what his own work is, and then he will have cause for exultation in regard to himself alone, and not in comparison with the other person. """,angry,en
"The more than 100 million people in the world, the more than half of the people in the world have been affected by violence.",angry,en
"According to a report published by the World Health Organization, ""the number of people in the United States have increased by 11 percent. """,sad,en
"He spoke to them according to the writing of the chronicles of the king, saying,",happy,en
Didn't this cup of coffee?,neutral,en
"Well, see the article ""The Bible Changes Lives "" in this issue of Awake!",neutral,en
"It is estimated that by the mid - 20th century C.E., both men and women have become close friends.",sad,en
"During the past four years, the world's largest city has become the largest city in the world, and the largest city in the world has become the world's largest city in the world.",happy,en
"It is not easy to find a suitable job, but it is a real challenge for us to do so.",neutral,en
"As a political party, she is a member of the United Nations government of the United States.",neutral,en
"Your father and your mother is alive. """,angry,en
The first stage of the ' s' s' s was set by women from the 16th century B.C.E. to the 17th century B.C.E.,neutral,en
Why is it wise to have a balanced view of money?,angry,en
He who is a teacher is not a teacher; he who is a teacher is a teacher.,angry,en
"Nonetheless, she did not even have a copy of the complete New World Translation of the Holy Scriptures!",sad,en
This is the first time I've ever seen the end of the world.,sad,en
This isn't our country.,neutral,en
India - India's largest city in the world - is one of the largest cities in the world.,happy,en
"How true the words of Proverbs 3: 5, 6 proved to be in this case: ""The blessing of Jehovah - that is what makes rich, and he adds no pain with it. """,happy,en
Let us consider how we can cultivate the fruitage of God's holy spirit and how we can display godly qualities.,angry,en
Change the game with %s,happy,en
"I have worked in the Service Department and at the meetings of Jehovah's Witnesses, and now I have the privilege of serving as a member of the Governing Body of Jehovah's Witnesses.",happy,en
List of India's Supreme Court of the United States,happy,en
The operation is not running. The operation is not running.,fear,en
This action is already being taken,neutral,en
Ephraim is a mighty man of God; his father is a great man of war.,happy,en
Preaching the good news of the Kingdom helps us to keep on preaching,neutral,en
