text,sentiment
कुलकर्णी हे बघ,neutral
हे प्रत्येक पक्ष्याच्या सतरंज्या उचल्यागीरी करणार्या अंध भक्तांना समजले पाहिजे.,angry
जी च्या दृष्टीने पुणे जिल्ह्यात एकही लायक आमदार नाही का मंत्री बनण्यासाठी,happy
शेणकयांच वजन किलो त्याच्यापेक्षा वजनदार भांडी मालकाकड़े ..खुप वाईट आहे हे,angry
पार होती नव्हती इज्जत काढली....सरकारी लोक स्वतःला काय समजतात देव जाणो...,angry
भाजप हा देशातील सर्वात भ्रष्ट पक्ष... घोटाळे करणाऱ्या प्रत्येक नेत्याला देश शिक्षा भोगत आहे.,angry
निवडणूक कोणाला लढवायची होती उद्दिष्ट वेगळेच होते सफल झाले बसा बोंबलत आता,angry
अक्कल सम्राट उद्धट हे सेनेचे वाट लावत आहेत आणि काही नाही...,angry
स्वतः चा देह सांभाळता येत नाही. हा कसला बदला घेणार,angry
पुरावेच नाहीयेत म्हणून कारवाई होत नाहीये..हा तोटल्या उगाच रान उठवतोय,angry
लोकांनीं भाजप ला नाकारले आहे असे चित्र दिसत आहे. सध्या तरी .,neutral
मराठवाड्यातील शेतकऱ्याच दुःख समजतंय का सत्तार साहेब?,sad
या देशात खरा नामर्द कोण आहे हे देशातील सुज्ञ नागरिकांना माहीत आहे,angry
"वैशाली ठक्कर आत्महत्त्या प्रकरणात फरार आरोपी पोलिसांच्या ताब्यात, काय होते वैशालीसोबतचे नाते?",happy
"चांगल्या समाजकार्यच्या फळ मिळतात योग्य ,तुम्ही कमी पडत आहेत",sad
तुमचा हा पत्रकार पत्रकारिता सोडून राष्ट्रवादीचीच जास्त तळी उचलतो,angry
मानसिक गुलामगिरीचे उत्तम उदाहरण म्हणजे शेन किडे...,angry
"गद्दारांनो ढाल-तलवार चिन्ह मिळवून उपयोग काय, आयुष्यभर च्या पदराखालीच लपायचं आहे तुम्हाला..",angry
अगदी खंर आहे!लाज वाटायला लागलेय आपलीच आपल्याला!,sad
येडा भोकाचा काय पण बरळत असतो नेहमी..,angry
कारवाही होईल की नाही आज तरी,neutral
कुठला गांजा मारून न्यूज लिहितात हे न्यूज वाले..,angry
"आजपर्यंत फक्त मुलेच चोरीला जात होती, एकनाथ सिंदे यांनी वडिलांकडून चोरी केली होती.",angry
काय वेळ आलीय?? लोकांची कामं करण्यापेक्षा मोदीच्या सांगण्यानुसार पूजा करत हिंडत आहेत??,angry
खरंच एवढी घाण केलीय का?,angry
"ला """" कंटेंट देण्याच्या प्रयत्नात टेक कंपनीज कोणत्या पातळीवर उतरतात हे पाहणे धक्कादायक आहे...",happy
अरे देसाड वाघ हा पोल बघ. मग तुला कळेल स्वतःची लायकी.,angry
