text,sentiment
குல்கர்னியைப் பார்க்கவும்,neutral
ஒவ்வொரு பறவையிடமிருந்தும் ஏழு வளையங்களை சேகரிக்கும் பார்வையற்ற பக்தர்கள் இதைப் புரிந்து கொள்ள வேண்டும்.,angry
புனே மாவட்டத்தில் அமைச்சராகும் தகுதியான எம்.எல்.ஏ.க்கள் யாரும் இல்லை என்று ஜி கூறினார்.,happy
1 கிலோவுக்கு மேல் எடையுள்ள உரம் கொள்கலனின் உரிமையாளருக்கு இது மிகவும் மோசமானது.,angry
பாஸ் கெளரவிக்கப்படவில்லை... அரசாங்கத்தில் இருப்பவர்கள் தங்களைப் பற்றி என்ன நினைக்கிறார்கள் என்பது கடவுளுக்குத் தெரியும்...,angry
நாட்டிலேயே அதிக ஊழல் செய்யும் கட்சி பா.ஜ.கதான் என்று கூறிய அவர்... ஊழல் செய்யும் ஒவ்வொரு தலைவரையும் நாடு தண்டித்து வருகிறது.,angry
தேர்தலில் போட்டியிட விரும்புபவர்கள் வெவ்வேறு நோக்கங்களைக் கொண்டுள்ளனர்,angry
"ஒரு அகால சக்கரவர்த்தி பொங்கி எழும் படைக்காக காத்திருக்கிறார், அதற்கு மேல் எதுவும் இல்லை…",angry
யாராலும் தன் உடலைப் பார்த்துக் கொள்ள முடியாது. அவர் என்ன மாதிரியான பழிவாங்குவார்?,angry
ஆதாரம் இல்லாததால் நடவடிக்கை எடுக்கப்படவில்லை,angry
மக்கள் பாஜகவை நிராகரித்து விட்டதாக தெரிகிறது. இருந்தாலும் இப்போதைக்கு.,neutral
"சத்தார்ஜி, மராத்வாடாவில் விவசாயிகளின் துயரம் உங்களுக்கு புரிகிறதா?",sad
இந்த நாட்டின் உண்மையான வில்லன் யார் என்பது நாட்டின் மனசாட்சியுள்ள குடிமக்களுக்கு தெரியும்.,angry
"போலீஸ் காவலில் வைஷாலி தக்கர் தற்கொலை வழக்கில் தப்பியோடிய குற்றவாளி, வைஷாலிக்கும் அவருக்கும் என்ன தொடர்பு?",happy
"நல்ல சமூகப் பணி பலனளிக்கிறது, நீங்கள் குறைவாக இருக்கிறீர்கள்",sad
உங்களுடைய இந்த பத்திரிக்கையாளர் பத்திரிக்கையை விட்டு விலகி என்சிபியில் சேர்ந்தார்.,angry
மன அடிமைத்தனத்திற்கு ஷேன் கிட் ஒரு சிறந்த உதாரணம்.,angry
"துரோகியின் அடையாளமும், கேடயமும், வாளும் இருந்தால் என்ன பயன், வாழ்நாள் முழுவதும் அதன் பின்னால் ஒளிந்து கொள்ள விரும்புகிறீர்கள்.",angry
உண்மை! நாமே வெட்கப்பட ஆரம்பித்து விட்டோம்!,sad
இந்த உணவு எப்போதும் அழுக்காக இருக்கும்.,angry
இன்றோ இல்லையோ நடவடிக்கை எடுக்கப்படும்,neutral
அவர்கள் எந்த வகையான களைகளை புகைக்கிறார்கள்? மக்கள் இந்த செய்தியை எழுதுகிறார்கள்.,angry
"இன்று வரை குழந்தைகள் மட்டுமே திருடப்பட்டவர், ஏக்நாத் சிண்டே தனது தந்தை வீட்டில் திருடுவதை வழக்கமாக கொண்டிருந்தார்.",angry
மணி என்ன?? மக்களுக்காக உழைக்காமல் மோடியின் உத்தரவை வணங்குகிறீர்களா?,angry
இது உண்மையில் அழுக்காக உள்ளதா?,angry
"தொழில்நுட்ப நிறுவனங்கள் ""... உள்ளடக்கத்தை வழங்க எவ்வளவு தூரம் செல்லும் என்பது ஆச்சரியம்""",happy
"இந்த கருத்துக்கணிப்பைப் பார்க்கவும், தேஷாத் வாக். அப்போது உங்களது தகுதி உங்களுக்குத் தெரியும்.",angry
இந்தக் காட்சி நிச்சயம் மனதைக் கலங்க வைக்கும்------,sad
இந்த அரசியல்வாதி மகாராஷ்டிராவின் நிலையை உயர்த்தினார்,angry
"என்ன ஒரு பொய்யான நம்பிக்கை மேடம், மோடி இப்படி சொன்னதற்கு உங்களிடம் ஆதாரம் இருக்கிறதா?",angry
இது தப்பு சார்,angry
"இந்துக்களே, மதச்சார்பின்மை என்பது மூடநம்பிக்கை என்பதை நினைவில் கொள்ளுங்கள்.",neutral
பாஜக உங்களை ஏன் நியமித்தது?,angry
இது அஞ்சல் அல்லது போலியா?,neutral
"அவர்கள் ஒன்றாக இருந்த காலத்தில், அவர்களின் கவுன்சிலர் தியோனாவின் குப்பை கிடங்கில் இருந்து குப்பைகளை சாப்பிடுவார்.",angry
"அதிர்ஷ்டவசமாக, ஒரு கணினி நகலும் சேர்க்கப்பட்டுள்ளது, இல்லையெனில் எனக்கு எதுவும் புரியவில்லை. மொபைல் கொடுத்தாயா??!!",neutral
மும்பை சாலைகள் குழி இல்லாத கவுட்பங்களா.. தரமற்ற பணிகள்.,angry
"டார்க் லேடி, பெட்னேகர் ஆன்ட்டி குரைக்கிறாரா?",angry
என்ன சொன்னாலும் பிஜேபியின் கடந்த காலம்.,angry
உங்கள் ஆட்சியில் நடந்தது... பொய் சொன்னீர்கள்,angry
நான் அந்தேரி பாட் தொகுதியில் வசிக்கிறேன் இது கூகுள்,neutral
"""நேற்று மிகவும் குழப்பமாக இருந்தது...""",neutral
இந்த மக்கள் வெறும்…,angry
உனக்கு உத்தவ் பிடிக்கவில்லை என்றால் எப்படி சின்னாவை பிடிக்கும்?,angry
நேற்று உஷ்டி பிரியாவில் எலும்புகளை மென்று கொண்டிருந்த லால்சத்யாவுக்கு வாந்தி வந்தது.,angry
அதிகாரத்துக்காக மண் சாப்பிடும் வழக்கம் உண்டு!,angry
ஒரு தீய வட்டம் இளைஞர்களைப் பின்தொடர்கிறது!,fear
ஜிதனே என்னை தடுத்தாள்,neutral
அட சத்தர் சேத்... விவசாயிகள் செத்து போனால் வறட்சி மாதிரியான சூழ்நிலை வருமா...?,sad
ஓ உன் தொண்டையில் ராஜ்ஜியத்தின் வருவாயே... நீங்களும் அதே கோணத்தில் பார்க்கிறீர்களா?,angry
நடிகை இளம் வயதிலேயே தற்கொலை செய்து கொண்டார்.,sad
"ஓ, நாம் ஏன் மன்னிப்பு கேட்க வேண்டும்?",angry
"மூத்த நடிகரும், மேடை ஆளுமையுமான பிரதீப் பட்வர்தனின் சோகமான மறைவுக்கு இதயப்பூர்வமான இரங்கல்கள்.",sad
"சரஸ்வதி எப்போது, ​​எப்படி இந்த அறிவை வழங்குகிறாள்? இந்த படிக்காத காய்கறி நம்பவில்லை!",angry
அனைத்து அரசியல் கட்சிகளும் தலைவர்களும் இந்திய மக்களை முட்டாளாக்கி அரசியல் சட்டத்தை மீறுகின்றனர்.,angry
அவர்கள் எப்போது வெடிகுண்டு சேர்க்கை செய்வார்கள்?,neutral
ரானே நாம் பார்த்த மிக மோசமான அரசியல்வாதி...,angry
இப்போது இந்த தேர்தல் சின்னமும் காணாமல் போகும் போலிருக்கிறது.,sad
முழுக்க முழுக்க தவறு... மிகவும் முட்டாள்தனமான அறிக்கை,angry
எனக்குத் தெரியும்... அவற்றின் தண்டுகள் பெரியவை,neutral
ஏதேனும் கெளரவமான மீறல்களை நாம் ஏற்றுக்கொள்கிறோமா?,neutral
"அவர்களுக்கு இரண்டு முறை அபராதம் விதிக்க வேண்டும், அது அவசியம்.",angry
ஒரு அர்த்தத்தில் மற்றும் அவரது அன்பான மார்சுபியல் அவர் கூறுகிறார் மற்றும் அது பேசுகிறது ...,angry
"பசி குறியீட்டு மனிதர் காங்கிரஸின் கைகளைப் பிடித்தாலும், இந்த தவறான கூற்றில் உண்மை இருக்கிறது.",angry
நீங்கள் மகாராஷ்டிராவில் அமைச்சரா அல்லது பேரழிவா? இது உங்கள் உரிமை என்று நினைக்கிறீர்களா?,angry
பாகிஸ்தானில் இருந்து வந்து பிரியாணி திருடுகிறீர்களா?,angry
அவரது உறவினர்கள் மீது வருமான வரித்துறை சோதனை,neutral
எதிர்காலத்தில் வாக்களிக்க வேண்டாம் என்று எனது அனைத்து மராட்டிய சகோதர சகோதரிகளையும் கேட்டுக்கொள்கிறேன்.,sad
எனக்கு முன்பே என் தாத்தாவை நீ கொன்றது அநியாயம்,angry
"சொல்லுங்கள், உங்களுக்கு புரியவில்லை, ஏன் உங்கள் அறியாமையை மக்கள் மீது திணிக்கிறீர்கள்?",angry
அதைப் பார்த்துவிட்டு அதிகார கூட்டம் நடத்தச் சொன்னார்கள். உத்தவ் தாக்கரே எந்த வாயிலிருந்து பேசுகிறார்?,happy
இது ஒரு துரோக பாஸ்டர்ட்,angry
பகலில் ஆரம்பித்து இப்போது பகல் முழுவதும் அலறுகிறது,angry
அவர்கள் ஏற்கனவே பயத்தில் எங்களைத் தடுத்துவிட்டார்கள் ...,fear
"மற்ற எல்லா வழிகளும் தோல்வியடையும் போது, அவர்கள் ராமனுக்காகவும் பாகிஸ்தானுக்காகவும் அழுகிறார்கள்",angry
"ஆம், இது மிகவும் தூக்கமில்லாத வேலை…",angry
"ஆம், தாத்தாவின் அப்பா ஒரு திருடன், இந்த துரோகி",angry
