text,sentiment,language
विकृति भी शर्मिंदा होगी..,angry,hi
जनता की समस्याएँ मेरे नाम पर खायी जाती हैं।,angry,hi
क्या मुँह पर मारने की ज़रूरत थी?,angry,hi
खाली पहाड़ के लोगों को कार्यक्रम में बुलाना नो मीटिंग कहलाता है!!,angry,hi
इस आम को कोई सड़ा हुआ नहीं मानता. उसे ऐसा करने दो.,angry,hi
धर्मनिरपेक्ष प्राणी वे हैं जो अपने पिता को छोड़कर अपने पड़ोसी को पिता कहकर पुकारते हैं,angry,hi
अब जो भक्त मर रहे हैं उनका सच क्या है?,angry,hi
हर कोई भ्रष्ट है.,angry,hi
आप जैसे गद्दारों को इसकी चिंता करने की जरूरत नहीं है।',angry,hi
जब लटके अदालत गए तो क्या आप सो रहे थे? तब संस्कृति कहाँ थी?,angry,hi
ये पप्पू की गोटी है,angry,hi
क्या आप राजनीति के लिए हमारी मां के नाम का इस्तेमाल करते हैं?,angry,hi
विधानसभा चुनाव के दौरान पहली आग उनके घर में लगेगी,angry,hi
"तुम इतने योग्य नहीं हो, इसके लिए शाही मुहर क्यों पहनते हो? महाराज महिलाओं का सम्मान करते थे",angry,hi
चित्रा ताई वाघ और आप तो शिंदे ग्रुप की कादी के लायक भी नहीं हैं कि ट्वीट कर सकें,angry,hi
क्या तुम जल गये हो? दिल्ली में पिता भी जले होंगे.,angry,hi
या उससे पहले भी ये गद्दार लोग इसी तरह मुंह के बल गिरेंगे,angry,hi
एक संपादक हैं और ये सवाल चिंता का विषय है...,angry,hi
अगर आप कहते हैं कि आप कट्टर हिंदू हैं तो आप सावरकर को भारत रत्न क्यों नहीं देते.,angry,hi
"ऊपर ट्वीट सेव करने, कर्ज उतारने की बात कहने वाले का क्या हुआ?",angry,hi
फिर पंढरपुर नांदेड़ कोल्हापुर में क्या हुआ पाखंडी भाजपा,angry,hi
वे निश्चित रूप से पिटेंगे. लेकिन कुछ लोग इसके बारे में बात क्यों नहीं कर रहे हैं?,angry,hi
आप गुजराती हैं या भैया.. संकर जानवर,angry,hi
उन्हें अपने ही गांव से बाहर निकाल देना क्यों बेहतर है...अगली बार विधायक भी जाएंगे...,angry,hi
बस इसे कम करो.. छात्र का नाम लेकर पैसे क्यों वसूलते हैं,angry,hi
क्या आप जटल सर को दोहराना चाहते हैं? बिकने वाले से उम्मीदें छोड़ दो,angry,hi
इसे प्रदूषित करने वालों को बस देना ठीक नहीं है।',angry,hi
वह थापा का खों घरघड़ाई क्या सराहना भक्त खुले प्रेम के निश्चिंत हैं,angry,hi
"क्यों, यह गलत चुनाव होना चाहिए। वंशवाद नहीं चलेगा",angry,hi
शिकारियों के कारण कीमतें बढ़ गईं..और भक्त मटन नहीं खरीद पाए।,angry,hi
वह मरा नहीं है दादा... वह भौंक रहा है... वह बस भौंक रहा है...,angry,hi
"जिन्होंने उन्हें धोखा दिया, वे असली गद्दार हैं और बाकी सभी खोखले हैं।'",angry,hi
ये शरद पवार ही थे जिन्होंने शिवसैनिकों को कुत्ता कहा था,angry,hi
विश्वासघात करने और अपने टैंकों का पैसा भ्रष्ट लोगों के हाथों में सौंपने के लिए लोकखट और पुरस्कार से सम्मानित किया गया,angry,hi
थापड़े......और गद्दार को याद दिलाना....कितनी शर्म की बात है।,angry,hi
: भाजपा और उसके वर्तमान नेता नपुंसक हैं क्योंकि...; 'सामना' से हमला,angry,hi
"नेतृत्व क्यों? आपका मोदी बलात्कारियों को वहां जाने दे रहा है, आंखें खुली रखें..!!",angry,hi
इस खबर को छुपाने के लिए जाधव आज पूरे दिन इधर-उधर भागते रहे।,angry,hi
क्या आप इतने भत्ते के पात्र हैं?,angry,hi
तुम्हारा मोदी पिछले साल देश ने जो कुछ बनाया था उसे बेचकर जी रहा है,angry,hi
"तो हम भी आपकी तरह खाली हैं, आप पैसा कमाना चाहते हैं और हम काम करना चाहते हैं...",angry,hi
क्या आप अपने खेलने के तरीके से शर्मिंदा हैं?,angry,hi
ये आदमी महाराष्ट्र में सूखा लाएगा,angry,hi
तो इतना भ्रष्टाचार है,angry,hi
"राधासुता, तब तुम्हारा धर्म कहाँ गया?",angry,hi
तो मुझे दिखाओ कि तुम्हें यहां कष्ट क्यों सहना पड़ता है और वहां मराठी क्यों बोलनी पड़ती है,angry,hi
मतलब गणित आपके दिमाग से बाहर है!,angry,hi
आप सालों तक मातोश्री में भीख मांगने क्यों गए!,angry,hi
"चूँकि इस कुत्ते को वेतन और पेंशन नहीं देनी पड़ेगी, यह अग्निरोधक नहीं होगा, यह स्थायी होगा....भेंजो",angry,hi
बिल्कुल। इन्हीं लोगों की वजह से आपकी जानकारी लीक होती है.,angry,hi
सुप्रीम कोर्ट को पूरा दिन बिताने की कोई जरूरत नहीं है. मैं सुबह रिजल्ट देकर फ्री होना चाहता था.,angry,hi
मोदी सरकार एक विफल सरकार है,angry,hi
दादा अपने गुरु की तरह अंधभक्त हैं..उनका हिंदुत्व उन्हें यही सिखाता है..,angry,hi
एक स्वाभिमानी और दूसरा केंचुए की संतान की तरह जीवन जीने वाला।,angry,hi
गद्दार मेहनत भी करेंगे तो भी कोई फायदा नहीं होगा. जनता उन्हें घर बैठा देगी,angry,hi
हम सस्ता पेट्रोल बेचते हैं का बोर्ड लगाकर पेट्रोल पंप बंद करके चले गए,angry,hi
फादर लेक के अलावा शिव सेना में कौन बचा है...!!!,angry,hi
सावरकर पर विवाद के बाद से हमने ये प्रसन्ना नहीं देखा है,angry,hi
"जहां भी आपकी भावनाएं आहत हों, उसे क्या खाना चाहिए, यह उसका सवाल है",angry,hi
अब एकनाथ शिंदे से दूरदर्शिता की उम्मीद करना बहुत ज्यादा है,angry,hi
"ये तो शुरुआत है, अब गद्दारों को झटका लगेगा",angry,hi
इस प्रवृत्ति को समय रहते कुचलना होगा।,angry,hi
"बच्चू कडू, बांगर, सावंत, सुर्वे, सरवणकर की बदमाशी बढ़ती जा रही है। ये हिंदुत्व क्यों है?",angry,hi
हिंदी थोपना बंद करो. हिंदी राष्ट्रभाषा नहीं है.,angry,hi
जब भाजपा ने पुणे नगर निगम को लूट लिया तो यही होगा,angry,hi
"सहानुभूति और आत्म-सिद्धि पर जीवन बीत गया, यह अच्छा है या नहीं",angry,hi
सवाल यह है कि क्या पत्रकारिता बिना बटुए के चल सकती है?,angry,hi
"सरकार चाहे कुछ भी कर ले कुछ लोग संतुष्ट नहीं हैं! उनकी एक, ऐसी नीति!",angry,hi
क्या वह इस योग्य है कि अपने देवत्व का इतना बड़ा प्रमाण दे सके!,angry,hi
नहीं....भाजपा की गुलाम गद्दार सेना को उखाड़ फेंको,angry,hi
"अरे, मैंने तब आपकी घटिया मानसिकता देखी थी, इसलिए मैंने एक ट्वीट लिखने का फैसला किया",angry,hi
"सुनो बीजेपी की बड़ी गलतफहमी ""मैं वापस आऊंगा"" कभी संभव नहीं!!!",angry,hi
यह पुलिस पिटाई के लायक है,angry,hi
कठिनाई जारी है क्योंकि वह अपने कार्यालय के दरवाजे पर बस से उतरना चाहता है।,angry,hi
दिल का दर्द और परेशानी और ये खुद को शिव सेना का पार्टी प्रमुख मानते हैं,angry,hi
खराड़ी मुंडवा हिंजेवाड़ी विमान नगर सब इन लोगों की वजह से जाम हो जाता है,angry,hi
"इसे सदमा नहीं, रोना कहते हैं. पुरुष ऐसे नहीं रोते. चप चप घाव",angry,hi
श्री बाला साहब नहीं गद्दार अब सिखाएंगे ठाकरे।,angry,hi
इसे कहते हैं गिरे तो भी टांग ऊपर.. अंधभक्तों का तर्क क्यों..,angry,hi
क्या आपको संभाजीनगर कहने में शर्म आती है?,angry,hi
"ओह, हमें माफ़ी क्यों मांगनी चाहिए?",angry,hi
आपकी पार्टी का प्रचार क्यों? क्या अकेली दीदी की तस्वीर नहीं थी?,angry,hi
सातों पीढि़यों को गद्दार करार दो,angry,hi
"लड़का विश्वासघाती, लालची, हत्यारा, अहंकारी और अकर्मण्य है। आज़ाद बाबूराव!",angry,hi
"इस खुराक से वाग्ले की गांठ भी ठीक हो जायेगी, लाई कह रहा था",angry,hi
गद्दार के लिए मशाल है,angry,hi
ये तो और कुछ नहीं बल्कि कुछ पत्नियां भ्रष्ट पतियों को बचाने के लिए पार्टियां भी बदल लेती हैं।,angry,hi
क्या यह आपके लायक हुआ?,angry,hi
क्या आप इस डायलॉग को बोलने के लिए पिछले ढाई साल से दांतों तले उंगली दबाये बैठे थे?????,angry,hi
तो ये तथाकथित हिंदू पार्टी के लोग किसे बचा रहे थे?,angry,hi
उन्होंने इसे रोका क्यों नहीं?,angry,hi
"इसलिए ये असली है, महिलाओं को ट्रोल करके मर्दानगी दिखाना",angry,hi
आपमें से कोई बिना बुलाए पाकिस्तान गया और बिरयानी खाई,angry,hi
राहुल गांधी की तुलना भगवान राम से करना अपमान है,angry,hi
यह नस्लवादी है,angry,hi
अतुल सुतार को बदहजमी हो गई. बिरयानी की जगह दाल चावल और टुम्पा धार से मैं तंग आ गया था.,angry,hi
यह हमारे देश में बढ़ती गंदगी का अच्छा उदाहरण है!!! भगवान कृपया हमें बचायें!!!,angry,hi
वे मशाल चुनाव चिन्ह की सफलता को बर्दाश्त नहीं कर पा रहे हैं,angry,hi
कैसा है ऐसा लगता है जैसे आपको मुफ्त में खाने की आदत हो गई है,angry,hi
ढाल तलवार का प्रतीक आप पर निर्भर है। यह इतिहास है. ये पार्टियां जल्दी डूब जाती हैं.,angry,hi
ये हैं असली शिवसैनिक जो प्रतिशत गिनते हैं...,angry,hi
क्या चुनाव आयोग खरीद लिया गया है?,angry,hi
क्या तुम्हें यह कहते हुए शर्म आती है?,angry,hi
अब बात करें इसका विरोध कौन करेगा? क्या आप में हिम्मत है?,angry,hi
अब आप बाला साहेब के आगे ठाकरे को भी नहीं रख सकते,angry,hi
बंगले में ले जाओ तो चलेगा?,angry,hi
"यदि भविष्य में राकांपा कभी विभाजित होती है, तो सबसे पहले धनु बंधु ही पार्टी छोड़ेंगे",angry,hi
"वर्तमान नेतृत्व न केवल बदसूरत है बल्कि अंधा, गूंगा, बहरा और अपंग भी है।",angry,hi
लटके को नामांकन के साथ-साथ इस्तीफे की भी तलवार लटकी हुई है.,angry,hi
"हालाँकि, मंदसैनिक भक्तों के बराबर आ गए और उन्माद फैल गया",angry,hi
पैसों का लालच देकर दो अधेड़ उम्र की महिलाओं की नरबलि के लिए हत्या कर देने की चौंकाने वाली घटना सामने आई है.,angry,hi
"तुमने डिब्बा खरीदने की चाहत छोड़ दी, खुजली कब मिटेगी",angry,hi
