text,sentiment
कुलकर्णी को देखो,neutral
यह बात उन अंधभक्तों को समझनी चाहिए जो एक-एक पक्षी के सात-सात छल्ले उठाते हैं।,angry
जी के मुताबिक पुणे जिले में कोई भी विधायक ऐसा नहीं है जो मंत्री बनने लायक हो,happy
1 किलो से अधिक वजन वाले गोबर के गमलों के मालिक के लिए यह बहुत बुरा है,angry
उत्तीर्ण का सम्मान नहीं किया गया.... भगवान जाने सरकार के लोग अपने बारे में क्या सोचते हैं...,angry
बीजेपी देश की सबसे भ्रष्ट पार्टी है... देश घोटाले करने वाले हर नेता को सजा दे रहा है.,angry
"जो भी चुनाव लड़ना चाहता था, उसका उद्देश्य अलग था",angry
अकाल सम्राट उद्धत को सेना का इंतजार है और कुछ नहीं...,angry
कोई अपने शरीर की देखभाल नहीं कर सकता। ये कैसा बदला लेगा?,angry
साक्ष्य नहीं होने के कारण कार्रवाई नहीं हो रही है,angry
ऐसा लगता है कि लोगों ने बीजेपी को नकार दिया है.' हालाँकि अभी के लिए.,neutral
"सत्तार जी, क्या आप मराठवाड़ा के किसानों की पीड़ा समझते हैं?",sad
देश के समझदार नागरिक जानते हैं कि इस देश में असली खलनायक कौन है,angry
"वैशाली ठक्कर आत्महत्या मामले में फरार आरोपी पुलिस हिरासत में, वैशाली से क्या था रिश्ता?",happy
"अच्छा सामाजिक कार्य सही फल देता है, आप कम पड़ रहे हैं",sad
आपका ये पत्रकार पत्रकारिता छोड़कर एनसीपी का और दामन थाम लेता है,angry
मानसिक गुलामी का एक अच्छा उदाहरण है शेन किड...,angry
"गद्दारों, ढाल-तलवार का निशान पाने से क्या फायदा, जिंदगी भर इसी आड़ में छिपना चाहते हो..",angry
यह सच है! हमें अपने आप पर शर्मिंदगी महसूस होने लगी है!,sad
येदा भोका हमेशा गंदगी से भरा रहता है..,angry
आज कार्रवाई होगी या नहीं,neutral
ये कैसा गांजा पीते हैं ये खबर वाले खबर लिखते हैं..,angry
"आज तक केवल बच्चे ही चुराए जाते थे, एकनाथ सिंदे ने अपने पिता के यहां से चोरी की।",angry
